cost,evac,widths,seed
0.0,1430.41,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",11
174.95,1351.27,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]",11
183.37,1349.91,"[0,0,0,0,0,0,0,0,2,0,0,0,2,0,0]",11
200.24,1328.91,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]",11
208.66,1327.75,"[0,0,2,0,0,0,0,0,2,0,0,0,0,0,0]",11
347.46,1292.01,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]",11
355.88,1290.9,"[0,0,0,0,0,0,0,0,2,0,0,0,4,0,0]",11
375.19,1269.76,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]",11
391.95,1268.63,"[0,0,2,0,0,0,0,0,4,0,0,0,2,0,0]",11
547.7,1224.87,"[0,0,2,0,0,0,0,0,0,0,0,0,4,0,0]",11
564.46,1222.61,"[0,0,2,0,0,0,0,0,4,0,0,0,4,0,0]",11
747.52,1197.17,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",11
908.0,1194.8,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]",11
988.79,1185.48,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]",11
1023.02,1184.23,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]",11
1031.44,1183.36,"[0,0,4,0,0,0,0,0,2,0,0,0,4,2,0]",11
1149.27,1181.57,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,2]",11
1183.5,1180.4,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,2]",11
1264.29,1170.42,"[0,0,4,0,0,0,0,0,0,0,2,0,4,2,0]",11
1281.05,1168.92,"[0,0,4,0,0,0,0,0,4,0,2,0,4,2,0]",11
1414.91,1165.94,"[0,0,4,0,2,0,0,0,0,0,0,0,4,2,0]",11
1532.9,1155.65,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]",11
1683.52,1152.84,"[0,0,4,0,2,0,0,0,0,0,0,0,4,4,0]",11
1844.0,1152.68,"[0,0,4,0,2,0,0,0,0,0,0,0,4,4,2]",11
1907.21,1151.54,"[0,0,4,0,2,0,0,0,2,0,4,0,4,2,0]",11
1915.55,1150.18,"[0,0,4,0,2,0,0,0,4,0,4,0,4,2,0]",11
1924.79,1145.26,"[0,0,4,0,2,0,0,0,0,0,2,0,4,4,0]",11
2085.27,1141.33,"[0,0,4,0,2,0,0,0,0,0,2,0,4,4,2]",11
2167.4,1137.46,"[0,0,4,0,2,0,0,0,0,0,4,0,4,4,0]",11
2231.57,1137.03,"[2,0,4,0,2,0,0,0,2,0,2,0,4,4,0]",11
2494.62,1136.93,"[0,2,4,0,2,0,2,0,0,0,2,0,4,4,0]",11
2503.07,1136.07,"[0,2,4,0,2,0,0,0,0,0,4,0,4,4,0]",11
2519.83,1134.89,"[0,2,4,0,2,0,0,0,4,0,4,0,4,4,0]",11
2557.33,1132.13,"[2,0,4,0,2,0,0,0,2,0,2,0,4,4,4]",11
2597.92,1131.22,"[2,0,4,0,2,0,0,0,0,2,2,0,4,4,2]",11
2727.72,1128.3,"[2,2,4,0,2,0,0,0,2,0,2,0,4,4,2]",11
2961.88,1125.54,"[2,2,4,0,2,0,2,0,2,0,2,0,4,4,2]",11
2978.67,1124.67,"[2,2,4,0,2,0,0,0,4,0,4,0,4,4,2]",11
3212.83,1123.11,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]",11
