layout,seed,population,completed,final_remaining,t50_s,t80_s,t95_s,normalized_person_time_to_95_s,median_actual_time_completed_s,p90_actual_time_completed_s,median_free_flow_lower_bound_s,p90_free_flow_lower_bound_s,median_delay_above_free_flow_s,p90_delay_above_free_flow_s,median_time_to_free_flow_ratio,p90_time_to_free_flow_ratio,free_flow_bound_violations
baseline,11,50000,47500,2500,417.716,963.512,1933.38,586.471038,395.515,1221.45,82.8986,167.53360000000004,309.1232,1078.1818000000014,4.7279085759785735,8.607768500331401,0
baseline,29,50000,47500,2500,413.316,945.516,1909.38,579.575022,391.565,1202.55,82.5441,167.5935,307.01185,1050.4147000000005,4.738108605237175,8.440129838800324,0
baseline,47,50000,47500,2500,412.116,947.916,1886.69,575.31779,389.715,1198.6699999999996,82.3244,167.0392,305.2973,1042.7259999999999,4.735359981371962,8.413339245487697,0
baseline,71,50000,47501,2499,415.116,955.014,1929.18,581.548965,393.215,1204.2700000000004,82.798,167.77820000000014,308.673,1053.7516000000003,4.738133457243836,8.502273173896782,0
baseline,101,50000,47500,2500,415.816,947.916,1907.48,578.752212,393.565,1202.1,82.77685,167.71800000000002,309.17485,1051.9285,4.784158198466062,8.421007086132523,0
optimized,11,50000,47500,2500,389.015,804.951,1459.69,490.269744,369.913,956.713,81.5196,162.2012,285.668,804.6788000000005,4.518868471392963,7.2081199026843406,0
optimized,29,50000,47500,2500,385.214,791.354,1403.9,481.774801,366.613,937.018,81.3539,162.51,282.6504,785.828,4.50417327932573,6.968348516701705,0
optimized,47,50000,47501,2499,383.314,783.756,1387.01,477.85798,364.363,929.32,80.94305,161.12900000000002,281.3921,775.9355,4.521964451541925,6.941541610107827,0
optimized,71,50000,47502,2498,385.614,793.053,1426.7,484.29655799999995,367.413,943.217,81.40495,162.8418,283.74405,790.6417999999998,4.532398457950382,6.953902110220381,0
optimized,101,50000,47500,2500,386.514,787.255,1417.6,482.510466,367.613,934.969,81.47415000000001,161.974,285.13014999999996,782.58,4.566873884024075,6.9910716212912165,0
