tag,setting,seed,population,crossover,mutation_per_gene,simulator_calls,front_size,final_hv,calls_to_95pct_hv,compromise_cost_proxy,compromise_evac,compromise_widths
base_s11,base,11,40,0.8,0.08,240,12,8829166.3,40,1023.02,531.58,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
base_s29,base,29,40,0.8,0.08,240,13,8836470.7,40,710.86,543.34,"[0,2,2,0,0,0,0,0,0,0,0,0,2,0,0]"
base_s47,base,47,40,0.8,0.08,240,12,8839014.3,40,1093.09,534.39,"[0,0,4,0,0,0,2,0,2,0,0,0,2,2,0]"
cx060_s11,cx060,11,40,0.6,0.08,240,11,8840407.1,40,1223.46,526.39,"[0,0,4,2,0,0,0,0,4,0,0,0,4,2,0]"
cx060_s29,cx060,29,40,0.6,0.08,240,14,8833218.2,40,1231.4,528.15,"[0,0,4,0,0,0,0,0,0,0,4,0,4,0,0]"
cx060_s47,cx060,47,40,0.6,0.08,240,14,8820453.6,40,1483.98,528.57,"[0,0,2,0,0,0,4,0,2,2,2,0,4,0,0]"
cx095_s11,cx095,11,40,0.95,0.08,240,11,8826352.4,40,1403.5,530.01,"[0,0,4,2,0,0,4,0,0,0,0,0,4,0,0]"
cx095_s29,cx095,29,40,0.95,0.08,240,10,8839272.9,40,1058.86,531.7,"[0,0,4,0,0,0,2,0,2,0,2,0,2,0,0]"
cx095_s47,cx095,47,40,0.95,0.08,240,14,8832362.6,40,788.97,535.54,"[0,0,2,0,0,0,0,0,0,0,2,0,4,0,0]"
mut004_s11,mut004,11,40,0.8,0.04,240,18,8828365.5,40,931.2,531.54,"[0,0,4,2,0,0,0,0,0,0,0,0,4,0,0]"
mut004_s29,mut004,29,40,0.8,0.04,240,14,8831391.6,40,1185.04,533.44,"[0,0,4,4,0,0,0,0,0,0,2,0,2,0,0]"
mut004_s47,mut004,47,40,0.8,0.04,240,11,8842947.3,40,858.93,534.86,"[0,0,4,0,0,0,0,0,2,0,0,0,2,2,0]"
mut016_s11,mut016,11,40,0.8,0.16,240,11,8822085.0,40,591.77,541.35,"[0,0,4,0,0,0,0,0,4,0,0,0,2,0,0]"
mut016_s29,mut016,29,40,0.8,0.16,240,12,8818004.5,40,950.76,538.16,"[0,0,2,0,0,0,2,0,2,0,0,0,4,0,2]"
mut016_s47,mut016,47,40,0.8,0.16,240,12,8809500.5,40,1800.34,525.51,"[2,0,2,0,0,0,0,0,2,0,2,0,4,4,2]"
pop20_s11,pop20,11,20,0.8,0.08,240,19,8847813.1,20,747.52,535.41,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
pop20_s29,pop20,29,20,0.8,0.08,240,19,8844568.7,20,591.77,537.49,"[0,0,4,0,0,0,0,0,4,0,0,0,2,0,0]"
pop20_s47,pop20,47,20,0.8,0.08,240,16,8832431.4,20,867.49,534.92,"[0,0,2,0,0,0,0,0,2,0,4,0,2,0,0]"
pop60_s11,pop60,11,60,0.8,0.08,240,10,8799717.9,60,1219.82,533.8,"[0,0,4,0,0,0,4,0,0,0,0,0,4,0,0]"
pop60_s29,pop60,29,60,0.8,0.08,240,9,8796260.0,60,911.73,552.19,"[0,0,0,0,0,0,0,0,2,0,0,2,4,2,0]"
pop60_s47,pop60,47,60,0.8,0.08,240,12,8809093.3,60,931.2,531.53,"[0,0,4,2,0,0,0,0,0,0,0,0,4,0,0]"
