tag,setting,seed,population,crossover,mutation_per_gene,simulator_calls,front_size,final_hv,calls_to_95pct_hv,compromise_cost_proxy,compromise_evac,compromise_widths
base_s11,base,11,40,0.8,0.08,240,19,4740435.7,80,1347.62,1222.65,"[0,0,2,0,4,0,0,0,4,0,0,0,4,0,0]"
base_s29,base,29,40,0.8,0.08,240,13,4896959.3,120,939.59,1213.96,"[0,0,2,0,2,0,0,0,0,0,0,0,4,0,0]"
base_s47,base,47,40,0.8,0.08,240,20,4963510.8,80,1045.88,1183.93,"[2,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
cx060_s11,cx060,11,40,0.6,0.08,240,16,4757653.8,120,1809.09,1192.75,"[4,4,2,0,0,0,0,0,0,0,0,0,4,0,0]"
cx060_s29,cx060,29,40,0.6,0.08,240,13,4906844.3,120,881.88,1220.45,"[0,0,2,0,0,0,0,0,2,0,0,0,4,0,4]"
cx060_s47,cx060,47,40,0.6,0.08,240,15,4970510.8,80,947.96,1193.28,"[0,0,4,2,0,0,0,0,4,0,0,0,4,0,0]"
cx095_s11,cx095,11,40,0.95,0.08,240,20,4836520.3,160,883.37,1228.06,"[0,2,2,0,0,0,0,0,0,0,0,0,4,0,0]"
cx095_s29,cx095,29,40,0.95,0.08,240,16,4925303.1,120,908.0,1205.31,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
cx095_s47,cx095,47,40,0.95,0.08,240,17,4900333.3,80,1445.66,1187.32,"[0,0,4,0,0,0,2,0,2,2,2,0,4,0,0]"
mut004_s11,mut004,11,40,0.8,0.04,240,15,4850456.0,160,755.94,1228.21,"[0,0,4,0,0,0,0,0,2,0,0,0,4,0,0]"
mut004_s29,mut004,29,40,0.8,0.04,240,20,4886785.7,120,1090.04,1206.04,"[0,0,4,0,0,0,0,0,4,0,0,0,4,0,4]"
mut004_s47,mut004,47,40,0.8,0.04,240,14,4907743.0,160,981.68,1195.72,"[0,0,4,0,0,0,2,0,0,0,0,0,4,0,0]"
mut016_s11,mut016,11,40,0.8,0.16,240,19,4819807.2,120,1489.27,1213.91,"[2,0,2,2,0,0,2,0,2,2,0,0,4,0,0]"
mut016_s29,mut016,29,40,0.8,0.16,240,18,4839957.8,80,1362.52,1208.64,"[0,0,2,0,0,0,4,0,4,0,0,0,4,0,4]"
mut016_s47,mut016,47,40,0.8,0.16,240,22,4845242.9,120,1606.1,1197.43,"[0,0,2,0,0,2,2,0,0,0,2,0,4,2,0]"
pop20_s11,pop20,11,20,0.8,0.08,240,20,4870418.9,80,846.06,1221.78,"[2,0,2,0,0,0,0,0,0,0,0,0,4,0,0]"
pop20_s29,pop20,29,20,0.8,0.08,240,20,4899057.2,100,1062.64,1195.86,"[2,0,4,0,0,0,0,0,4,0,0,0,4,0,0]"
pop20_s47,pop20,47,20,0.8,0.08,240,20,5007647.3,60,788.97,1209.9,"[0,0,2,0,0,0,0,0,0,0,2,0,4,0,0]"
pop60_s11,pop60,11,60,0.8,0.08,240,15,4641157.2,120,2040.87,1217.24,"[0,0,2,4,0,2,4,0,4,0,0,0,4,0,4]"
pop60_s29,pop60,29,60,0.8,0.08,240,13,4837081.5,120,1231.4,1203.53,"[0,0,4,0,0,0,0,0,0,0,4,0,4,0,0]"
pop60_s47,pop60,47,60,0.8,0.08,240,15,4958954.7,120,1091.68,1186.98,"[0,0,4,2,0,0,0,0,0,0,0,0,4,0,2]"
