tag,scenario,parameter,perturbation_pct,seed,crowd,simulator_calls,wall_seconds,front_size,final_hypervolume,zero_evac,fixed_cost,fixed_evac,fixed_improvement_pct,optimized_cost,optimized_evac,optimized_improvement_pct,optimized_widths,optimized_segments,zero_change_vs_baseline_pct,segment_jaccard_vs_baseline_reoptimized,width_jaccard_vs_baseline_reoptimized
baseline_s11,baseline,baseline,0,11,8000,24,374.389,10,3088867.0,517.4583375506072,747.5200000000001,488.85425101214577,5.527804745375076,747.52,488.85,5.528626263135495,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",0.0,1.0,1.0
baseline_s29,baseline,baseline,0,29,8000,24,365.333,11,3091579.9,518.6271887651822,747.5200000000001,490.0297191295547,5.514070657135466,375.19,492.08,5.11874219868598,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]","3,13",0.0,1.0,1.0
baseline_s47,baseline,baseline,0,47,8000,24,358.53,9,3118603.3,516.5575910931174,747.5200000000001,489.64209261133607,5.210551339459334,375.19,492.39,4.678585991152495,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]","3,13",0.0,1.0,1.0
k_m10_s11,k_m10,k,-10,11,8000,24,346.751,9,2978895.2,536.954504048583,747.5200000000001,505.2788714574899,5.8991278315503415,747.52,505.28,5.898917656851824,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",3.7676784937432855,1.0,1.0
k_m10_s29,k_m10,k,-10,29,8000,24,345.1,8,2980799.2,538.6949645748988,747.5200000000001,505.39047317813765,6.182439708350117,747.52,505.39,6.182527546211761,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",3.869402963137493,1.0,0.5
k_m10_s47,k_m10,k,-10,47,8000,24,345.684,8,3021762.6,536.228580465587,747.5200000000001,503.4112790991903,6.120020931727039,375.19,509.02,5.074063833368011,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]","3,13",3.8080922072682606,1.0,1.0
k_m5_s11,k_m5,k,-5,11,8000,24,361.391,9,3038680.6,524.4847672064777,747.5200000000001,497.79429402834006,5.088893872036942,375.19,499.56,4.752238532919186,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]","3,13",1.357873503233163,1.0,0.5
k_m5_s29,k_m5,k,-5,29,8000,24,360.046,10,3038534.3,527.1922191295547,747.5200000000001,495.8587234311741,5.9434670242507055,375.19,501.31,4.909446344312278,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]","3,13",1.6514811698872423,1.0,1.0
k_m5_s47,k_m5,k,-5,47,8000,24,362.182,9,3072664.4,531.1465397267207,747.5200000000001,495.35959008097166,6.737679146730713,375.19,500.21,5.8244829652166805,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]","3,13",2.824263719120029,1.0,1.0
k_p5_s11,k_p5,k,5,11,8000,24,360.37,7,3130225.4,510.0878415991903,747.5200000000001,483.0006325910931,5.310302814349654,375.19,485.81,4.759541321956663,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]","3,13",-1.424365096967071,1.0,0.5
k_p5_s29,k_p5,k,5,29,8000,24,358.385,9,3131863.8,507.3185222672065,747.5200000000001,480.90637019230775,5.206226643739095,347.46,486.72,4.060274041474314,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]",13,-2.1805001247429496,0.5,0.3333333333333333
k_p5_s47,k_p5,k,5,47,8000,24,357.77,8,3160053.3,509.2754934210527,747.5200000000001,482.9668142712551,5.165903227164801,375.19,485.15,4.737218604215568,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]","3,13",-1.409735874107393,1.0,1.0
k_p10_s11,k_p10,k,10,11,8000,24,365.642,10,3172060.3,501.49438259109314,747.5200000000001,475.683451417004,5.146803647277298,747.52,475.68,5.147491873730834,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",-3.0850705846348068,1.0,1.0
k_p10_s29,k_p10,k,10,29,8000,24,373.728,9,3171719.8,500.047975708502,747.5200000000001,475.39583122469634,4.9299558605105505,375.19,478.71,4.267185699185949,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]","3,13",-3.5823831567558293,1.0,1.0
