tag,scenario,parameter,perturbation_pct,seed,crowd,simulator_calls,wall_seconds,front_size,final_hypervolume,zero_evac,fixed_cost,fixed_evac,fixed_improvement_pct,optimized_cost,optimized_evac,optimized_improvement_pct,optimized_widths,optimized_segments,zero_change_vs_baseline_pct,segment_jaccard_vs_baseline_reoptimized,width_jaccard_vs_baseline_reoptimized
baseline_s11,baseline,baseline,0,11,50000,24,1227.171,12,4841705.4,1447.3487228827807,747.5200000000001,1230.0802831736514,15.011478317152296,747.52,1229.74,15.034989110941762,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",0.0,1.0,1.0
baseline_s29,baseline,baseline,0,29,50000,24,1218.834,11,4917166.0,1422.293987482784,747.5200000000001,1211.597265601264,14.813865750386586,747.52,1211.6,14.813673497676536,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",0.0,1.0,1.0
baseline_s47,baseline,baseline,0,47,50000,24,1207.992,10,4971581.1,1421.2772031582144,747.5200000000001,1200.4502986132195,15.537215685602805,747.52,1200.45,15.537236695805374,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",0.0,1.0,1.0
k_m10_s11,k_m10,k,-10,11,50000,24,1336.27,12,4266798.0,1545.035129332172,747.5200000000001,1324.1633231380015,14.295584741146977,747.52,1322.95,14.374115197507919,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",6.7493344834562485,1.0,1.0
k_m10_s29,k_m10,k,-10,29,50000,24,1324.628,12,4334821.2,1525.086617921089,747.5200000000001,1307.4565980028765,14.270010461102427,747.52,1307.46,14.269787391993853,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",7.227242141424679,1.0,1.0
k_m10_s47,k_m10,k,-10,47,50000,24,1319.356,11,4404540.1,1524.9106893410265,747.5200000000001,1295.580937341836,15.03889726802904,747.52,1295.58,15.038958736667343,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",7.29157450443365,1.0,1.0
k_m5_s11,k_m5,k,-5,11,50000,24,1277.411,12,4570116.1,1493.3043610362777,747.5200000000001,1273.4021592497315,14.725879567775797,747.52,1272.94,14.756828332260136,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",3.1751600306776115,1.0,1.0
k_m5_s29,k_m5,k,-5,29,50000,24,1264.749,12,4643591.3,1471.125271408896,747.5200000000001,1257.56660488951,14.516688053007268,747.52,1257.57,14.516457269772427,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",3.433276408102874,1.0,1.0
k_m5_s47,k_m5,k,-5,47,50000,24,1232.999,11,4703979.1,1470.3958659783382,747.5200000000001,1245.4412086243549,15.298917968890516,747.52,1244.94,15.333004614259403,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",3.4559523441998055,1.0,1.0
k_p5_s11,k_p5,k,5,11,50000,24,1182.198,12,5094630.7,1401.8359739917762,747.5200000000001,1187.7608215681903,15.271055700903403,747.52,1187.76,15.271114307488306,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13",-3.1445599924497656,1.0,1.0
