scenario,zero_evac_mean,zero_evac_sd,zero_change_mean_pct,zero_change_sd_pct,fixed_improvement_mean_pct,fixed_improvement_sd_pct,optimized_improvement_mean_pct,optimized_improvement_sd_pct,optimized_cost_mean,optimized_cost_sd,segment_jaccard_mean,segment_jaccard_sd,width_jaccard_mean,width_jaccard_sd,final_hypervolume_mean,final_hypervolume_sd,parameter,perturbation_pct
baseline,517.5477058029688,1.037689088528767,0.0,0.0,5.4174755806566255,0.17933317454182707,5.108651484324657,0.4251099656388622,499.3,214.96482572737338,1.0,0.0,1.0,0.0,3099683.4,16441.165366542442,baseline,0
k_m10,537.2926830296896,1.2674921739849851,3.8150578880496795,0.05121872167425428,6.067196157209165,0.1488598249565707,5.718503012143866,0.5758342067745383,623.41,214.96482572737332,1.0,0.0,0.8333333333333334,0.28867513459481287,2993819.0,24218.585625919623,k,-10
k_m5,527.6078420209177,3.3502776106965975,1.9445394640801448,0.7758784950999884,5.92334668100612,0.8245767651777263,5.162055947482715,0.579038633735857,375.19,0.0,1.0,0.0,0.8333333333333334,0.28867513459481287,3049959.766666667,19662.925317035857,k,-5
k_p5,508.8939524291498,1.4235387374432278,-1.6715336986058045,0.4408385427131831,5.227477561751183,0.0745084648349185,4.519011322548848,0.3974348949420257,365.94666666666666,16.009922964628334,0.8333333333333334,0.28867513459481287,0.611111111111111,0.34694433324435553,3140714.1666666665,16768.20345783456,k,5
k_p10,500.15768176450746,1.2853638950800639,-3.359944333459589,0.25276869794101203,4.949662003825296,0.18806450539144237,4.585366549961907,0.4882278358136971,499.3,214.96482572737338,1.0,0.0,1.0,0.0,3179756.9333333336,13626.905195360428,k,10
h_m10,471.3991080465587,2.4159041222933637,-8.917151059416954,0.28918814756561106,3.8481105584908284,0.39572231449591505,3.9500718415689184,0.5580292210112535,751.9399999999999,268.8972465459622,0.6666666666666666,0.33333333333333337,0.5444444444444444,0.23648662948658628,3308050.0666666664,9634.888616031196,h,-10
h_m5,491.2781334345479,2.4413906052752212,-5.075924726536463,0.3797601678571708,4.11992322805902,0.5515018974964677,3.8792444265871513,0.43041999603720454,375.19,0.0,1.0,0.0,0.8333333333333334,0.28867513459481287,3209266.0666666664,17352.340353489533,h,-5
h_p5,545.1103006916329,1.6222355801463486,5.3256805544165955,0.27327703088327115,6.535838901259101,0.35376805790900995,5.974824439396997,0.81242979815487,490.0566666666667,223.40045710188988,0.8333333333333334,0.28867513459481287,0.7777777777777777,0.3849001794597505,2986131.0,11408.465930614677,h,5
h_p10,567.9287048751687,1.1756731542936887,9.735047251105064,0.4041504775043833,6.848637046429224,0.1915321578665128,6.241336731556479,0.5278483947302608,499.3,214.96482572737338,1.0,0.0,1.0,0.0,2875707.766666667,11200.86608318035,h,10
rho_m10,575.1418606612685,1.3694239331066669,11.128419211647604,0.25883801623252406,7.776122668300737,0.25492890496418497,7.586706554595519,0.4508726316650613,623.41,214.96482572737332,1.0,0.0,0.8333333333333334,0.28867513459481287,2844062.6999999997,27256.194531885445,rho,-10
rho_m5,541.1014170040486,1.272617093215133,4.551594361884203,0.44245119076578554,6.185859882149418,0.31488006018095566,5.666552463565773,0.3629266047573438,375.19,0.0,1.0,0.0,0.8333333333333334,0.28867513459481287,2987188.3333333335,22665.324350278574,rho,-5
rho_p5,499.23982582658573,3.7872508808559817,-3.536192420055151,0.9249368870669759,4.860646855680767,0.7615753847112825,4.333373218846557,0.8175920678269151,499.3,214.96482572737338,1.0,0.0,1.0,0.0,3178880.4,15425.488266826294,rho,5
rho_p10,483.1564671896087,1.7093586901593347,-6.645227854838553,0.14390159373706782,3.993267061326181,0.45141638044804916,3.9856103457885723,1.0400199422768923,715.2433333333333,325.11884693652155,0.8888888888888888,0.19245008972987532,0.7666666666666666,0.2516611478423583,3253319.5,11294.92157874525,rho,10
