scenario,parameter,perturbation_pct,zero_evac_mean,zero_evac_sd,zero_change_mean_pct,zero_change_sd_pct,fixed_improvement_mean_pct,fixed_improvement_sd_pct,optimized_improvement_mean_pct,optimized_improvement_sd_pct,optimized_cost_mean,optimized_cost_sd,representative_seed,representative_cost,representative_improvement_pct,representative_plan,representative_width_vector_m,segment_jaccard_mean,segment_jaccard_sd,width_jaccard_mean,width_jaccard_sd
baseline,baseline,0,517.5477058029688,1.037689088528767,0.0,0.0,5.4174755806566255,0.17933317454182707,5.108651484324657,0.4251099656388622,499.3,214.96482572737338,29,375.19,5.11874219868598,R3: +2 m; R13: +2 m,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]",1.0,0.0,1.0,0.0
k_m10,k,-10,537.2926830296896,1.2674921739849851,3.8150578880496795,0.05121872167425428,6.067196157209165,0.1488598249565707,5.718503012143866,0.5758342067745383,623.41,214.96482572737332,11,747.52,5.898917656851824,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,0.8333333333333334,0.28867513459481287
k_m5,k,-5,527.6078420209177,3.3502776106965975,1.9445394640801448,0.7758784950999884,5.92334668100612,0.8245767651777263,5.162055947482715,0.579038633735857,375.19,0.0,29,375.19,4.909446344312278,R3: +2 m; R13: +2 m,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]",1.0,0.0,0.8333333333333334,0.28867513459481287
k_p5,k,5,508.8939524291498,1.4235387374432278,-1.6715336986058045,0.4408385427131831,5.227477561751183,0.0745084648349185,4.519011322548848,0.3974348949420257,365.94666666666666,16.009922964628334,47,375.19,4.737218604215568,R3: +2 m; R13: +2 m,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]",0.8333333333333334,0.28867513459481287,0.611111111111111,0.34694433324435553
k_p10,k,10,500.15768176450746,1.2853638950800639,-3.359944333459589,0.25276869794101203,4.949662003825296,0.18806450539144237,4.585366549961907,0.4882278358136971,499.3,214.96482572737338,47,375.19,4.341422076968936,R3: +2 m; R13: +2 m,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]",1.0,0.0,1.0,0.0
h_m10,h,-10,471.3991080465587,2.4159041222933637,-8.917151059416954,0.28918814756561106,3.8481105584908284,0.39572231449591505,3.9500718415689184,0.5580292210112535,751.9399999999999,268.8972465459622,47,747.52,3.5743163610423823,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",0.6666666666666666,0.33333333333333337,0.5444444444444444,0.23648662948658628
h_m5,h,-5,491.2781334345479,2.4413906052752212,-5.075924726536463,0.3797601678571708,4.11992322805902,0.5515018974964677,3.8792444265871513,0.43041999603720454,375.19,0.0,47,375.19,3.7570087875997165,R3: +2 m; R13: +2 m,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]",1.0,0.0,0.8333333333333334,0.28867513459481287
h_p5,h,5,545.1103006916329,1.6222355801463486,5.3256805544165955,0.27327703088327115,6.535838901259101,0.35376805790900995,5.974824439396997,0.81242979815487,490.0566666666667,223.40045710188988,29,347.46,5.577276192174821,R13: +4 m,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]",0.8333333333333334,0.28867513459481287,0.7777777777777777,0.3849001794597505
h_p10,h,10,567.9287048751687,1.1756731542936887,9.735047251105064,0.4041504775043833,6.848637046429224,0.1915321578665128,6.241336731556479,0.5278483947302608,499.3,214.96482572737338,47,375.19,6.273345817130577,R3: +2 m; R13: +2 m,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]",1.0,0.0,1.0,0.0
rho_m10,rho,-10,575.1418606612685,1.3694239331066669,11.128419211647604,0.25883801623252406,7.776122668300737,0.25492890496418497,7.586706554595519,0.4508726316650613,623.41,214.96482572737332,11,747.52,7.678349720616552,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,0.8333333333333334,0.28867513459481287
rho_m5,rho,-5,541.1014170040486,1.272617093215133,4.551594361884203,0.44245119076578554,6.185859882149418,0.31488006018095566,5.666552463565773,0.3629266047573438,375.19,0.0,11,375.19,5.7762166475948575,R3: +2 m; R13: +2 m,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]",1.0,0.0,0.8333333333333334,0.28867513459481287
rho_p5,rho,5,499.23982582658573,3.7872508808559817,-3.536192420055151,0.9249368870669759,4.860646855680767,0.7615753847112825,4.333373218846557,0.8175920678269151,499.3,214.96482572737338,47,375.19,4.61792160403572,R3: +2 m; R13: +2 m,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]",1.0,0.0,1.0,0.0
rho_p10,rho,10,483.1564671896087,1.7093586901593347,-6.645227854838553,0.14390159373706782,3.993267061326181,0.45141638044804916,3.9856103457885723,1.0400199422768923,715.2433333333333,325.11884693652155,29,747.52,4.512375217327823,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",0.8888888888888888,0.19245008972987532,0.7666666666666666,0.2516611478423583
