step,time,alive
0,0,49336
1,1,49273
2,2,49176
3,3,49060
4,4,48936
5,5,48834
6,6,48708
7,7,48604
8,8,48509
9,9,48414
10,10,48317
11,11,48230
12,12,48146
13,13,48062
14,14,47979
15,15,47898
16,16,47824
17,17,47760
18,18,47685
19,19,47622
20,20,47551
21,21,47484
22,22,47410
23,23,47360
24,24,47284
25,25,47229
26,26,47167
27,27,47104
28,28,47038
29,29,46981
30,30,46912
31,31,46855
32,32,46795
33,33,46726
34,34,46660
35,35,46588
36,36,46530
37,37,46462
38,38,46394
39,39,46320
40,40,46257
41,41,46198
42,42,46118
43,43,46058
44,44,45984
45,45,45921
46,46,45850
47,47,45777
48,48,45711
49,49,45635
50,50,45569
51,51,45498
52,52,45424
53,53,45349
54,54,45276
55,55,45207
56,56,45136
57,57,45065
58,58,44993
59,59,44919
60,60,44849
61,61,44777
62,62,44708
63,63,44632
64,64,44558
65,65,44497
66,66,44418
67,67,44354
68,68,44276
69,69,44202
70,70,44127
71,71,44057
72,72,43984
73,73,43918
74,74,43839
75,75,43758
76,76,43695
77,77,43618
78,78,43548
79,79,43471
80,80,43399
81,81,43321
82,82,43247
83,83,43173
84,84,43101
85,85,43033
86,86,42951
87,87,42886
88,88,42805
89,89,42739
90,90,42665
91,91,42591
92,92,42515
93,93,42445
94,94,42371
95,95,42307
96,96,42231
97,97,42154
98,98,42087
99,99,42019
100,100,41938
101,101,41871
102,102,41793
103,103,41726
104,104,41655
105,105,41594
106,106,41521
107,107,41450
108,108,41381
109,109,41315
110,110,41239
111,111,41172
112,112,41104
113,113,41036
114,114,40965
115,115,40893
116,116,40822
117,117,40757
118,118,40689
119,119,40614
120,120,40556
121,121,40486
122,122,40416
123,123,40348
124,124,40278
125,125,40214
126,126,40143
127,127,40076
128,128,40003
129,129,39944
130,130,39875
131,131,39816
132,132,39751
133,133,39680
134,134,39621
135,135,39548
136,136,39487
137,137,39417
138,138,39362
139,139,39297
140,140,39234
141,141,39170
142,142,39105
143,143,39038
144,144,38980
145,145,38911
146,146,38853
147,147,38793
148,148,38730
149,149,38665
150,150,38606
151,151,38546
152,152,38482
153,153,38417
154,154,38361
155,155,38310
156,156,38240
157,157,38185
158,158,38127
159,159,38063
160,160,38002
161,161,37945
162,162,37880
163,163,37826
164,164,37759
165,165,37703
166,166,37640
167,167,37583
168,168,37519
169,169,37462
170,170,37400
171,171,37341
172,172,37288
173,173,37223
174,174,37170
175,175,37111
176,176,37045
177,177,36986
178,178,36928
179,179,36871
180,180,36811
181,181,36755
182,182,36700
183,183,36635
184,184,36584
185,185,36529
186,186,36466
187,187,36411
188,188,36353
189,189,36298
190,190,36240
191,191,36181
192,192,36120
193,193,36065
194,194,36012
195,195,35957
196,196,35898
197,197,35840
198,198,35789
199,199,35732
200,200,35671
201,201,35617
202,202,35552
203,203,35495
204,204,35435
205,205,35382
206,206,35328
207,207,35265
208,208,35209
209,209,35153
210,210,35093
211,211,35038
212,212,34978
213,213,34922
214,214,34870
215,215,34812
216,216,34754
217,217,34701
218,218,34645
219,219,34584
220,220,34532
221,221,34478
222,222,34419
223,223,34363
224,224,34305
225,225,34250
226,226,34193
227,227,34135
228,228,34084
229,229,34025
230,230,33969
231,231,33908
232,232,33855
233,233,33797
234,234,33747
235,235,33686
236,236,33631
237,237,33574
238,238,33521
239,239,33470
240,240,33410
241,241,33356
242,242,33299
243,243,33248
244,244,33186
245,245,33130
246,246,33079
247,247,33022
248,248,32967
249,249,32912
250,250,32854
251,251,32795
252,252,32740
253,253,32684
254,254,32628
255,255,32579
256,256,32517
257,257,32461
258,258,32407
259,259,32353
260,260,32301
261,261,32236
262,262,32183
263,263,32132
264,264,32070
265,265,32025
266,266,31964
267,267,31917
268,268,31863
269,269,31807
270,270,31757
271,271,31709
272,272,31653
273,273,31605
274,274,31549
275,275,31497
276,276,31448
277,277,31396
278,278,31342
279,279,31297
280,280,31239
281,281,31193
282,282,31139
283,283,31094
284,284,31043
285,285,30988
286,286,30936
287,287,30892
288,288,30839
289,289,30792
290,290,30741
291,291,30690
292,292,30642
293,293,30593
294,294,30548
295,295,30497
296,296,30449
297,297,30394
298,298,30350
299,299,30298
300,300,30252
301,301,30202
302,302,30155
303,303,30113
304,304,30056
305,305,30012
306,306,29964
307,307,29913
308,308,29862
309,309,29812
310,310,29768
311,311,29721
312,312,29670
313,313,29621
314,314,29571
315,315,29525
316,316,29477
317,317,29429
318,318,29382
319,319,29331
320,320,29285
321,321,29237
322,322,29189
323,323,29142
324,324,29093
325,325,29042
326,326,29001
327,327,28953
328,328,28904
329,329,28854
330,330,28808
331,331,28764
332,332,28715
333,333,28666
334,334,28619
335,335,28571
336,336,28524
337,337,28477
338,338,28424
339,339,28379
340,340,28332
341,341,28286
342,342,28239
343,343,28192
344,344,28141
345,345,28098
346,346,28045
347,347,28011
348,348,27958
349,349,27909
350,350,27863
351,351,27815
352,352,27767
353,353,27725
354,354,27669
355,355,27632
356,356,27580
357,357,27535
358,358,27489
359,359,27446
360,360,27396
361,361,27351
362,362,27304
363,363,27261
364,364,27213
365,365,27171
366,366,27121
367,367,27076
368,368,27032
369,369,26987
370,370,26950
371,371,26896
372,372,26861
373,373,26817
374,374,26771
375,375,26725
376,376,26680
377,377,26639
378,378,26601
379,379,26552
380,380,26505
381,381,26466
382,382,26422
383,383,26377
384,384,26336
385,385,26293
386,386,26248
387,387,26205
388,388,26157
389,389,26116
390,390,26069
391,391,26031
392,392,25986
393,393,25943
394,394,25899
395,395,25854
396,396,25816
397,397,25772
398,398,25732
399,399,25688
400,400,25642
401,401,25602
402,402,25561
403,403,25519
404,404,25472
405,405,25430
406,406,25389
407,407,25350
408,408,25306
409,409,25270
410,410,25233
411,411,25192
412,412,25151
413,413,25108
414,414,25070
415,415,25025
416,416,24990
417,417,24944
418,418,24908
419,419,24864
420,420,24823
421,421,24789
422,422,24746
423,423,24709
424,424,24667
425,425,24627
426,426,24591
427,427,24550
428,428,24508
429,429,24470
430,430,24422
431,431,24387
432,432,24344
433,433,24306
434,434,24268
435,435,24229
436,436,24186
437,437,24151
438,438,24113
439,439,24074
440,440,24030
441,441,23987
442,442,23953
443,443,23907
444,444,23874
445,445,23831
446,446,23795
447,447,23752
448,448,23717
449,449,23674
450,450,23637
451,451,23593
452,452,23557
453,453,23514
454,454,23476
455,455,23435
456,456,23395
457,457,23354
458,458,23315
459,459,23277
460,460,23236
461,461,23195
462,462,23154
463,463,23122
464,464,23080
465,465,23041
466,466,23003
467,467,22964
468,468,22920
469,469,22884
470,470,22843
471,471,22812
472,472,22767
473,473,22733
474,474,22688
475,475,22651
476,476,22611
477,477,22575
478,478,22535
479,479,22497
480,480,22460
481,481,22417
482,482,22379
483,483,22345
484,484,22306
485,485,22262
486,486,22231
487,487,22192
488,488,22149
489,489,22114
490,490,22068
491,491,22033
492,492,21992
493,493,21954
494,494,21918
495,495,21875
496,496,21843
497,497,21798
498,498,21762
499,499,21721
500,500,21679
501,501,21644
502,502,21606
503,503,21569
504,504,21527
505,505,21491
506,506,21451
507,507,21416
508,508,21378
509,509,21342
510,510,21303
511,511,21262
512,512,21232
513,513,21193
514,514,21156
515,515,21117
516,516,21077
517,517,21040
518,518,21001
519,519,20964
520,520,20931
521,521,20890
522,522,20849
523,523,20813
524,524,20773
525,525,20738
526,526,20698
527,527,20663
528,528,20624
529,529,20588
530,530,20549
531,531,20513
532,532,20474
533,533,20442
534,534,20401
535,535,20363
536,536,20325
537,537,20290
538,538,20256
539,539,20219
540,540,20183
541,541,20146
542,542,20109
543,543,20071
544,544,20034
545,545,19997
546,546,19962
547,547,19929
548,548,19897
549,549,19858
550,550,19820
551,551,19780
552,552,19745
553,553,19711
554,554,19676
555,555,19637
556,556,19604
557,557,19563
558,558,19533
559,559,19490
560,560,19457
561,561,19424
562,562,19392
563,563,19351
564,564,19314
565,565,19281
566,566,19247
567,567,19206
568,568,19173
569,569,19140
570,570,19104
571,571,19076
572,572,19040
573,573,19005
574,574,18973
575,575,18938
576,576,18907
577,577,18875
578,578,18842
579,579,18803
580,580,18769
581,581,18738
582,582,18701
583,583,18668
584,584,18633
585,585,18598
586,586,18567
587,587,18531
588,588,18498
589,589,18464
590,590,18431
591,591,18394
592,592,18363
593,593,18329
594,594,18297
595,595,18262
596,596,18232
597,597,18197
598,598,18171
599,599,18137
600,600,18106
601,601,18074
602,602,18040
603,603,18008
604,604,17980
605,605,17947
606,606,17914
607,607,17880
608,608,17852
609,609,17819
610,610,17785
