ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,433.417,117.661,403.874,232.301,355.317,174.525,0,73.5383,359.879,5.89377
2,1755.02,300.974,421.104,437.821,615.593,539.64,0,188.109,1566.91,9.3298
3,1429.6,289.02,440.654,364.536,355.595,174.393,0,180.638,1248.96,7.91417
4,116.199,101.474,344.771,723.488,315.709,819.186,0,63.4214,52.7774,1.83217
5,16.9,10.0036,77.7299,404.877,67.7362,404.847,0,6.25225,10.6478,2.70303
6,668.284,140.935,209.368,308.12,247.732,184.509,0,88.0844,580.2,7.58686
7,842.341,156.83,464.048,169.067,356.006,173.626,0,98.0186,744.323,8.59369
8,626.494,193.87,326.038,338.819,252.829,183.867,0,121.169,505.325,5.17042
9,1358.02,251.019,463.244,435.662,615.584,540.338,0,156.887,1201.13,8.65603
10,784.056,254.335,307.628,376.259,251.826,184.31,0,158.959,625.096,4.93243
11,1567.46,276.578,457.268,422.889,615.675,539.716,0,172.861,1394.6,9.06777
12,197.503,79.0836,574.581,128.585,653.611,130.401,0,49.4273,148.076,3.99583
13,1066.29,173.931,527.357,402.943,630.322,334.057,0,108.707,957.58,9.80882
14,509.822,140.252,462.992,161.322,356.158,173.397,0,87.6574,422.165,5.81608
15,42.2999,29.3765,625.946,137.506,654.229,131.761,0,18.3603,23.9396,2.30388
16,1929.28,409.617,450.28,513.243,510.005,650.823,1,256.011,1673.27,7.53592
17,263.607,106.697,551.386,133.179,653.895,131.167,0,66.6858,196.921,3.95297
18,520.02,200.127,329.601,633.348,312.807,817.988,0,125.08,394.94,4.15751
19,571.008,139.569,394.997,245.703,355.193,174.51,0,87.2306,483.777,6.54596
20,532.117,127.357,259.648,742.815,310.606,818.77,0,79.5978,452.519,6.68507
21,248.906,142.49,382.751,706.407,315.972,819.268,0,89.0563,159.85,2.79493
22,1762.22,298.271,446.721,442.477,615.478,540.102,0,186.42,1575.8,9.45296
23,813.448,162.01,498.421,619.381,613.287,613.184,0,101.256,712.192,8.03354
24,636.692,197.169,519.63,226.088,648.446,190.778,0,123.231,513.461,5.16666
25,1439.9,277.744,463.217,429.382,615.671,540.233,0,173.59,1266.31,8.29481
26,1267.94,178.24,498.836,326.707,630.292,334.062,0,111.4,1156.54,11.3818
27,1929.28,268.884,423.044,561.22,528.128,620.356,1,168.053,1761.22,11.4802
28,1929.28,269.286,429.835,431.667,603.575,538.386,1,168.304,1760.97,11.4631
29,334.611,97.8084,557.207,697.424,612.205,752.576,0,61.1303,273.481,5.47374
30,1901.68,303.064,430.423,593.669,613.33,613.154,0,189.415,1712.27,10.0398
31,245.506,109.104,164.532,381.743,66.8115,402.614,0,68.1897,177.316,3.60034
32,868.835,201.766,501.506,362.451,630.252,334.149,0,126.104,742.731,6.88984
33,435.717,125.568,538.757,689.65,612.073,752.727,0,78.4801,357.237,5.55195
34,50.1998,23.8526,578.409,834.449,602.5,833.682,0,14.9079,35.2919,3.36734
35,214.404,92.3375,116.277,457.71,67.6516,405.649,0,57.711,156.693,3.71513
36,216.004,80.4431,269.056,261.221,251.274,184.541,0,50.2769,165.727,4.29629
37,238.405,121.155,322.394,712.813,312.634,817.975,0,75.7219,162.683,3.14843
38,600.3,176.329,206.729,436.339,67.7021,405.609,0,110.206,490.095,5.44709
39,650.088,257.928,281.696,435.385,66.5877,402.222,0,161.205,488.883,4.03268
40,209.504,92.1549,234.777,629.894,144.554,616.738,0,57.5968,151.907,3.63741
41,484.62,93.7052,610.743,680.598,612.31,752.11,0,58.5657,426.055,8.27481
42,179.702,75.4541,143.159,397.853,67.1874,403.67,0,47.1588,132.543,3.81057
43,285.708,84.3604,590.463,188.93,647.849,191.622,0,52.7252,232.983,5.41881
