ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
1,434.517,138.582,309.025,278.817,253.341,183.043,0,86.6134,347.904,5.01674
2,733.768,233.294,428.201,632.466,613.969,614.854,0,145.809,587.959,5.03241
3,902.027,305.847,297.407,496.467,139.933,611.134,0,191.155,710.872,4.71884
4,1138.87,248.128,475.496,431.633,615.597,539.695,0,155.08,983.789,7.34375
5,556.511,211.768,244.46,366.275,67.4373,404.114,0,132.355,424.156,4.20469
6,52.9998,37.5567,578.044,601.183,613.355,612.3,0,23.473,29.5268,2.25791
7,277.708,121.653,531.827,119.905,653.893,129.018,0,76.0331,201.675,3.65246
8,266.407,121.545,514.579,360.485,630.411,334.381,0,75.9653,190.442,3.50696
9,216.904,83.2876,566.064,360.769,630.28,334.257,0,52.0548,164.849,4.16684
10,534.017,147.131,288.134,309.89,252.151,184.139,0,91.957,442.06,5.80724
11,164.601,113.434,355.769,717.917,315.71,819.218,0,70.8965,93.7044,2.32171
12,1127.37,180.772,503.796,194.087,356.294,173.212,0,112.983,1014.39,9.97828
13,388.615,163.568,343.49,664.159,313.603,818.268,0,102.23,286.385,3.80139
14,40.7999,46.4832,325.153,773.648,314.159,818.632,0,29.052,11.7479,1.40438
15,358.913,180.181,222.454,497.998,144.627,615.53,0,112.613,246.299,3.18712
16,51.8998,31.4228,579.207,821.544,602.572,832.764,0,19.6393,32.2605,2.64265
17,420.216,142.604,554.642,176.168,647.683,191.788,0,89.1273,331.089,4.71479
18,271.707,96.1073,556.024,320.7,630.932,332.558,0,60.0671,211.64,4.5234
19,519.52,98.7746,606.881,710.37,612.323,752.365,0,61.7341,457.786,8.41544
20,493.621,189,229.749,361.875,67.3722,404.26,0,118.125,375.496,4.17881
21,1287.13,312.439,429.508,377.696,630.363,334.146,0,195.274,1091.86,6.59141
22,70.2995,43.6703,610.105,218.283,648.093,198.003,0,27.294,43.0055,2.57564
23,471.72,164.002,525.138,175.732,647.663,191.675,0,102.501,369.218,4.60209
24,50.5998,16.133,264.535,194.557,253.192,183.413,0,10.0831,40.5167,5.01827
25,564.909,142.629,279.747,720.462,311.426,818.462,0,89.1433,475.766,6.33709
26,204.003,108.028,130.246,459.009,67.7385,404.852,0,67.5177,136.486,3.02148
27,946.416,313.147,308.367,488.861,139.856,611.138,0,195.717,750.699,4.83564
28,240.906,109.778,567.523,194.372,648.378,190.79,0,68.6112,172.294,3.51117
29,946.516,354.148,373.044,526.109,144.634,615.533,0,221.342,725.173,4.27625
30,414.016,103.788,565.515,480.209,615.554,540.046,0,64.8678,349.148,6.38246
31,878.333,184.816,444.182,287.434,355.442,174.449,0,115.51,762.823,7.60396
32,656.787,188.318,493.063,680.492,613.983,614.784,0,117.698,539.088,5.58025
33,58.4997,28.1837,132.494,587.703,139.473,611.159,0,17.6148,40.8848,3.32105
34,134.899,50.8551,118.026,405.228,67.6192,404.563,0,31.7844,103.115,4.24418
35,648.789,209.686,261.695,558.505,144.77,615.936,0,131.054,517.735,4.95056
36,50.4998,25.5284,628.395,128.84,653.819,129.222,0,15.9553,34.5445,3.16509
37,118.899,54.4783,111.289,419.424,67.7116,405.572,0,34.0489,84.8498,3.492
38,424.417,129.131,184.19,251.672,247.673,184.518,0,80.7067,343.71,5.25875
39,32.3001,15.5251,637.664,129.035,653.561,129.687,0,9.70318,22.5969,3.32881
40,121.199,33.7074,271.183,211.2,252.391,184.046,0,21.0671,100.132,5.75298
41,414.116,141.044,164.502,439.705,67.5132,406.098,0,88.1527,325.963,4.69771
42,60.7996,50.6528,188.725,673.807,151.857,694.083,0,31.658,29.1417,1.92052
43,18.5,13.2552,600.372,610.676,613.31,612.403,0,8.28451,10.2155,2.23309
44,62.4996,19.2457,617.508,281.109,635.956,282.818,0,12.0286,50.4711,5.19593
45,1417.7,344.543,417.73,422.221,618.383,334.041,1,215.339,1202.36,6.58358
46,379.914,152.772,269.271,658.311,144.008,618.006,0,95.4828,284.431,3.97887
47,510.022,170.588,303.159,638.617,143.951,618.079,0,106.617,403.404,4.78366
48,183.602,59.6688,305.974,204.151,253.245,183.207,0,37.293,146.309,4.92323
49,104.699,40.4507,123.242,586.461,139.205,611.297,0,25.2817,79.4173,4.1413
50,359.713,126.441,564.894,396.023,630.27,334.129,0,79.0255,280.687,4.55185
51,284.308,93.8434,220.788,268.462,249.106,185.118,0,58.6521,225.656,4.84736
52,606.899,199.573,307.887,655.546,143.991,618.036,0,124.733,482.166,4.86559
53,271.107,144.863,347.346,682.673,314.279,818.556,0,90.5392,180.568,2.99436
