step,time,alive
0,0,49308
1,1,49258
2,2,49155
3,3,49051
4,4,48939
5,5,48825
6,6,48711
7,7,48606
8,8,48510
9,9,48411
10,10,48325
11,11,48233
12,12,48144
13,13,48055
14,14,47968
15,15,47890
16,16,47809
17,17,47739
18,18,47654
19,19,47590
20,20,47521
21,21,47456
22,22,47391
23,23,47326
24,24,47259
25,25,47192
26,26,47131
27,27,47060
28,28,47001
29,29,46936
30,30,46872
31,31,46797
32,32,46736
33,33,46677
34,34,46607
35,35,46540
36,36,46464
37,37,46401
38,38,46332
39,39,46263
40,40,46188
41,41,46117
42,42,46046
43,43,45980
44,44,45906
45,45,45831
46,46,45758
47,47,45688
48,48,45618
49,49,45546
50,50,45475
51,51,45394
52,52,45327
53,53,45250
54,54,45177
55,55,45106
56,56,45040
57,57,44961
58,58,44891
59,59,44806
60,60,44738
61,61,44658
62,62,44592
63,63,44519
64,64,44441
65,65,44360
66,66,44289
67,67,44210
68,68,44132
69,69,44062
70,70,43989
71,71,43906
72,72,43832
73,73,43756
74,74,43674
75,75,43602
76,76,43525
77,77,43455
78,78,43379
79,79,43301
80,80,43229
81,81,43150
82,82,43082
83,83,42999
84,84,42919
85,85,42847
86,86,42774
87,87,42693
88,88,42619
89,89,42541
90,90,42470
91,91,42391
92,92,42320
93,93,42243
94,94,42171
95,95,42096
96,96,42021
97,97,41944
98,98,41872
99,99,41804
100,100,41724
101,101,41659
102,102,41576
103,103,41508
104,104,41439
105,105,41358
106,106,41289
107,107,41215
108,108,41144
109,109,41081
110,110,40995
111,111,40928
112,112,40857
113,113,40783
114,114,40707
115,115,40637
116,116,40568
117,117,40491
118,118,40420
119,119,40348
120,120,40284
121,121,40204
122,122,40135
123,123,40055
124,124,39993
125,125,39916
126,126,39847
127,127,39782
128,128,39711
129,129,39640
130,130,39570
131,131,39500
132,132,39439
133,133,39373
134,134,39303
135,135,39234
136,136,39170
137,137,39103
138,138,39031
139,139,38968
140,140,38902
141,141,38831
142,142,38770
143,143,38703
144,144,38634
145,145,38569
146,146,38497
147,147,38430
148,148,38368
149,149,38309
150,150,38236
151,151,38177
152,152,38108
153,153,38046
154,154,37977
155,155,37922
156,156,37856
157,157,37798
158,158,37736
159,159,37669
160,160,37607
161,161,37539
162,162,37481
163,163,37413
164,164,37353
165,165,37288
166,166,37234
167,167,37163
168,168,37103
169,169,37046
170,170,36979
171,171,36922
172,172,36859
173,173,36795
174,174,36745
175,175,36673
176,176,36618
177,177,36557
178,178,36494
179,179,36429
180,180,36377
181,181,36316
182,182,36251
183,183,36194
184,184,36139
185,185,36073
186,186,36009
187,187,35956
188,188,35899
189,189,35835
190,190,35771
191,191,35716
192,192,35661
193,193,35600
194,194,35542
195,195,35480
196,196,35425
197,197,35361
198,198,35301
199,199,35244
200,200,35178
201,201,35130
202,202,35062
203,203,35002
204,204,34947
205,205,34882
206,206,34829
207,207,34768
208,208,34708
209,209,34644
210,210,34591
211,211,34530
212,212,34472
213,213,34405
214,214,34349
215,215,34296
216,216,34239
217,217,34179
218,218,34119
219,219,34048
220,220,33999
221,221,33938
222,222,33872
223,223,33820
224,224,33753
225,225,33701
226,226,33641
227,227,33579
228,228,33522
229,229,33467
230,230,33401
231,231,33341
232,232,33289
233,233,33224
234,234,33162
235,235,33109
236,236,33049
237,237,32985
238,238,32928
239,239,32872
240,240,32816
241,241,32750
242,242,32697
243,243,32639
244,244,32571
245,245,32512
246,246,32448
247,247,32393
248,248,32335
249,249,32272
250,250,32209
251,251,32155
252,252,32089
253,253,32031
254,254,31973
255,255,31915
256,256,31853
257,257,31798
258,258,31740
259,259,31675
260,260,31620
261,261,31566
262,262,31513
263,263,31449
264,264,31399
265,265,31348
266,266,31288
267,267,31233
268,268,31173
269,269,31119
270,270,31069
271,271,31010
272,272,30953
273,273,30896
274,274,30841
275,275,30787
276,276,30731
277,277,30675
278,278,30626
279,279,30565
280,280,30516
281,281,30461
282,282,30402
283,283,30348
284,284,30295
285,285,30238
286,286,30191
287,287,30132
288,288,30070
289,289,30021
290,290,29964
291,291,29906
292,292,29855
293,293,29800
294,294,29742
295,295,29687
296,296,29634
297,297,29578
298,298,29523
299,299,29470
300,300,29426
301,301,29368
302,302,29313
303,303,29263
304,304,29208
305,305,29155
306,306,29097
307,307,29044
308,308,28999
309,309,28936
310,310,28882
311,311,28831
312,312,28779
313,313,28727
314,314,28675
315,315,28622
316,316,28570
317,317,28517
318,318,28470
319,319,28417
320,320,28363
321,321,28313
322,322,28259
323,323,28209
324,324,28155
325,325,28100
326,326,28050
327,327,27994
328,328,27940
329,329,27890
330,330,27835
331,331,27784
332,332,27731
333,333,27671
334,334,27628
335,335,27573
336,336,27520
337,337,27474
338,338,27420
339,339,27368
340,340,27311
341,341,27270
342,342,27213
343,343,27159
344,344,27106
345,345,27061
346,346,27010
347,347,26953
348,348,26903
349,349,26852
350,350,26803
351,351,26745
352,352,26691
353,353,26645
354,354,26591
355,355,26544
356,356,26489
357,357,26439
358,358,26381
359,359,26334
360,360,26284
361,361,26232
362,362,26179
363,363,26127
364,364,26076
365,365,26028
366,366,25972
367,367,25925
368,368,25872
369,369,25819
370,370,25774
371,371,25718
372,372,25673
373,373,25619
374,374,25560
375,375,25514
376,376,25468
377,377,25413
378,378,25368
379,379,25315
380,380,25269
381,381,25215
382,382,25175
383,383,25126
384,384,25067
385,385,25026
386,386,24980
387,387,24929
388,388,24884
389,389,24837
390,390,24790
391,391,24740
392,392,24694
393,393,24647
394,394,24602
395,395,24553
396,396,24510
397,397,24460
398,398,24414
399,399,24365
400,400,24318
401,401,24269
402,402,24228
403,403,24181
404,404,24133
405,405,24088
406,406,24040
407,407,23993
408,408,23942
409,409,23897
410,410,23860
411,411,23812
412,412,23766
413,413,23728
414,414,23682
415,415,23638
416,416,23594
417,417,23553
418,418,23503
419,419,23463
420,420,23420
421,421,23377
422,422,23333
423,423,23292
424,424,23247
425,425,23203
426,426,23155
427,427,23114
428,428,23067
429,429,23026
430,430,22982
431,431,22936
432,432,22891
433,433,22848
434,434,22806
435,435,22761
436,436,22717
437,437,22676
438,438,22630
439,439,22586
440,440,22541
441,441,22501
442,442,22457
443,443,22413
444,444,22364
445,445,22325
446,446,22284
447,447,22236
448,448,22194
449,449,22152
450,450,22111
451,451,22066
452,452,22023
453,453,21982
454,454,21937
455,455,21894
456,456,21855
457,457,21808
458,458,21769
459,459,21725
460,460,21682
461,461,21639
462,462,21598
463,463,21555
464,464,21513
465,465,21470
466,466,21422
467,467,21383
468,468,21343
469,469,21295
470,470,21255
471,471,21213
472,472,21174
473,473,21124
474,474,21083
475,475,21043
476,476,21001
477,477,20956
478,478,20917
479,479,20874
480,480,20834
481,481,20787
482,482,20745
483,483,20702
484,484,20660
485,485,20619
486,486,20581
487,487,20536
488,488,20495
489,489,20456
490,490,20412
491,491,20369
492,492,20327
493,493,20283
494,494,20238
495,495,20197
496,496,20153
497,497,20111
498,498,20072
499,499,20027
500,500,19990
501,501,19945
502,502,19904
503,503,19857
504,504,19816
505,505,19778
506,506,19733
507,507,19695
508,508,19651
509,509,19606
510,510,19570
511,511,19529
512,512,19482
513,513,19443
514,514,19400
515,515,19359
516,516,19321
517,517,19274
518,518,19236
519,519,19195
520,520,19150
521,521,19107
522,522,19065
523,523,19021
524,524,18983
525,525,18939
526,526,18898
527,527,18858
528,528,18816
529,529,18772
530,530,18734
531,531,18689
532,532,18646
533,533,18607
534,534,18561
535,535,18516
536,536,18480
537,537,18435
538,538,18400
539,539,18362
540,540,18318
541,541,18276
542,542,18234
543,543,18189
544,544,18151
545,545,18107
546,546,18068
547,547,18025
548,548,17990
549,549,17947
550,550,17909
551,551,17868
552,552,17829
553,553,17788
554,554,17747
555,555,17714
556,556,17670
557,557,17634
558,558,17592
559,559,17556
560,560,17516
561,561,17475
562,562,17436
563,563,17397
564,564,17358
565,565,17313
566,566,17276
567,567,17238
568,568,17202
569,569,17158
570,570,17121
571,571,17080
572,572,17042
573,573,17007
574,574,16969
575,575,16927
576,576,16890
577,577,16853
578,578,16812
579,579,16774
580,580,16737
581,581,16699
582,582,16665
583,583,16626
584,584,16591
585,585,16548
586,586,16517
587,587,16477
588,588,16443
589,589,16407
590,590,16369
591,591,16329
592,592,16301
593,593,16262
594,594,16229
595,595,16187
596,596,16150
597,597,16118
598,598,16078
599,599,16044
600,600,16006
601,601,15969
602,602,15935
603,603,15896
604,604,15862
605,605,15825
606,606,15790
607,607,15753
608,608,15716
609,609,15681
610,610,15646
611,611,15604
612,612,15572
613,613,15536
614,614,15502
615,615,15465
616,616,15430
617,617,15395
