ID,time,distance,start_x,start_y,end_x,end_y,state
0,232.505,139.906,202.264,305.852,247.95,184.575,0
1,198.003,115.896,508.427,632.754,613.27,613.08,0
2,151,166.364,308.744,680.888,311.948,818.281,0
3,58.6997,46.167,146.764,660.143,150.38,706.105,0
4,4.7,3.11262,603.198,811.794,605.983,812.63,0
5,249.706,210.823,485.858,439.588,615.579,540.322,0
6,48.9998,52.4877,177.228,672.555,150.244,706.166,0
7,62.0996,66.3163,562.248,782.831,611.073,755.241,0
8,7.89999,7.73474,360.535,180.118,355.766,174.09,0
9,18.3,21.3605,260.058,203.659,252.163,184.108,0
10,101.199,95.1533,365.973,200.914,349.598,174.634,0
11,136.499,151.937,527.329,177.611,648.336,190.861,0
12,39.2,44.1818,599.321,320.547,630.264,334.29,0
13,131.599,119.713,175.361,624.853,150.689,706.195,0
14,61.4996,49.1046,115.22,399.661,67.7465,404.899,0
15,380.214,198.245,503.955,200.292,355.949,173.635,0
16,39.1,28.9865,253.562,213.464,249.696,185.245,0
17,0,0,621.536,612.772,621.536,612.772,0
18,16.3,18.6179,404.915,96.4033,405.744,78.1479,0
19,230.205,194.766,168.288,534.019,149.601,706.263,0
20,112.299,87.42,557.847,352.917,630.272,333.964,0
21,113.699,138.534,531.258,188.603,647.718,191.764,0
22,180.402,155.764,320.564,305.96,250.797,184.731,0
23,422.517,238.25,423.164,613.997,613.334,612.445,0
24,125.199,107.473,558.957,376.819,630.25,334.192,0
25,158.8,186.846,482.236,698.3,611.82,753.377,0
26,389.715,200.256,257.389,632.895,150.265,706.184,0
27,264.407,227.695,496.358,505.548,615.622,539.649,0
28,6.1,5.92696,605.919,752.248,611.605,753.91,0
29,29.7001,30.6065,572.31,832.479,602.464,833.349,0
30,212.904,131.474,510.94,653.921,613.42,612.339,0
31,51.1998,61.4675,596.22,229.778,648.342,198.112,0
32,305.109,219.906,393.289,338.21,349.676,174.656,0
33,162.201,135.289,531.456,147.664,653.486,130.244,0
34,198.403,192.078,277.441,644.519,151.576,706.578,0
35,167.101,132.921,298.569,295.744,251.104,184.637,0
36,151.2,124.298,276.222,297.235,249.855,185.09,0
37,118.299,86.1006,439.351,179,356.166,173.397,0
38,356.113,202.598,476.17,399.089,630.305,334.141,0
39,267.507,206.923,204.268,562.487,150.786,706.304,0
40,126.999,106.629,546.922,123.811,653.616,129.753,0
41,64.4996,68.9644,193.333,679.733,151.707,706.694,0
42,350.912,196.674,498.021,539.339,613.345,613.228,0
43,383.714,219.058,478.994,414.088,630.266,334.089,0
44,409.716,187.317,213.373,438.762,67.809,405.214,0
45,30.2001,31.7458,151.972,674.273,150.257,706.1,0
46,116.599,87.5935,541.832,635.338,613.354,612.507,0
47,466.519,273.39,448.727,480.204,615.647,539.674,0
48,313.91,227.804,352.225,360.52,349.293,174.511,0
49,158.9,129.205,536.159,152.806,653.516,130.143,0
50,283.208,210.41,248.069,416.615,67.4255,404.266,0
51,182.302,162.224,265.274,657.145,152.452,706.971,0
52,430.617,221.383,243.776,426.354,67.3725,406.439,0
53,87.4992,83.8011,583.226,187.694,648.457,190.78,0
54,416.816,290.832,425.143,434.932,615.599,539.57,0
55,45.8999,57.6503,554.379,758.105,611.168,754.856,0
56,422.217,295.379,409.814,442.512,615.577,539.891,0
57,189.402,143.204,293.245,300.333,250.924,184.746,0
58,145.4,123.878,534.918,131.305,653.487,129.828,0
59,90.1992,65.117,589.296,661.625,613.22,612.922,0
60,326.111,192.13,254.412,354.048,249.465,185.199,0
61,143.6,183.657,534.368,303.723,648.186,197.998,0
62,288.408,218.334,394.19,329.316,349.792,174.733,0
63,124.199,148.044,316.218,694.286,312.107,818.213,0
64,6.5,7.13396,623.427,333.286,630.391,334.045,0
65,130.499,167.029,533.965,288.049,648.144,197.964,0
66,429.517,266.718,253.598,501.43,67.7804,405.22,0
67,121.599,116.858,362.946,234.946,349.69,174.702,0
68,94.4991,115.821,320.509,712.769,312.333,818.077,0
69,104.199,123.158,351.188,703.579,312.98,818.055,0
70,318.41,243.785,313.453,375.917,250.938,184.617,0
71,440.418,323.54,389.963,442.229,349.674,174.59,0
72,97.4991,119.491,583.294,278.677,648.207,197.983,0
73,373.314,228.712,469.974,370.553,630.342,334.141,0
74,266.807,209.382,278.878,372.073,251.696,184.338,0
75,540.615,329.344,419.109,506.4,615.6,539.714,0
76,113.099,98.2712,264.427,280.216,249.637,185.204,0
77,460.119,280.993,444.894,487.243,615.547,540.136,0
78,292.009,154.19,241.075,626.022,150.693,706.158,0
79,20.5,19.2217,595.573,614.719,613.425,613.275,0
80,999.903,763.197,580.665,537.511,575.355,545.668,1
81,118.699,135.827,313.409,283.318,250.996,184.588,0
82,289.608,295.454,357.058,556.778,312.199,818.151,0
83,276.908,212.403,500.875,576.73,613.198,612.565,0
84,211.504,130.529,211.434,306.944,249.444,185.013,0
85,131.599,112.537,306.952,248.128,349.986,174.783,0
86,86.3993,79.5525,357.256,195.594,349.352,174.482,0
87,113.499,90.1435,572.956,674.689,613.356,613.12,0
88,55.9997,58.7703,569.849,780.52,611.175,754.864,0
89,120.099,115.339,573.006,442.172,615.581,539.742,0
90,102.299,110.93,87.8419,472.994,67.7338,405.491,0
91,252.806,153.793,205.337,317.948,248.954,185.011,0
92,107.799,92.9263,304.247,230.096,349.873,174.81,0
93,302.009,223.665,378.924,342.867,349.351,174.464,0
94,0,0,405.617,73.7946,405.617,73.7946,0
95,64.4996,73.6356,591.442,192.463,647.897,197.576,0
96,247.606,195.371,476.31,550.698,613.309,612.53,0
97,108.399,109.519,575.623,446.331,615.631,539.68,0
98,216.404,112.538,225.091,294.28,249.174,185.092,0
99,173.301,206.885,513.567,259.651,648.328,198.074,0
100,578.106,383.356,388.698,517.112,615.497,539.935,0
101,153.3,110.968,423.227,233.179,355.833,174.346,0
102,89.1992,102.501,541.376,495.618,615.478,539.982,0
103,465.519,275.986,422.903,403.148,630.357,334.119,0
104,116.899,113.703,167.696,623.023,150.644,706.206,0
105,425.017,167.667,489.801,638.685,613.335,612.54,0
106,409.416,189.887,450.996,638.712,613.3,613.234,0
107,24.4001,19.9794,87.0148,409.776,67.7446,405.482,0
108,54.3997,48.0231,605.797,133.528,653.453,129.808,0
109,493.121,273.966,449.268,487.402,615.562,539.76,0
110,190.802,161.893,190.423,591.315,150.804,706.287,0
111,37.4,29.0997,232.799,205.022,248.688,184.876,0
112,287.708,155.003,244.592,631.142,150.893,706.275,0
113,38.9,45.6661,612.423,192.95,647.887,197.59,0
114,251.606,217.49,385.039,645.766,313.202,818.229,0
115,85.5993,74.8682,268.716,258.645,249.882,185.138,0
116,510.022,306.518,442.832,497.419,615.631,540.429,0
117,207.203,185.541,277.107,648.449,152.506,706.98,0
118,166.801,141.52,233.61,775.701,152.255,706.892,0
119,149.6,184.531,534.131,305.375,648.15,198.025,0
120,144.5,130.893,525.75,706.958,612.003,753.046,0
121,85.4993,78.8738,188.981,211.898,248.316,184.844,0
122,83.6993,100.268,330.408,721.932,312.253,818.172,0
123,0,0,619.765,613.058,619.765,613.058,0
124,139.799,121.438,159.186,600.817,149.916,706.248,0
125,189.902,163.427,126.777,515.013,67.759,405.437,0
126,107.199,112.825,574.102,444.642,615.592,540.272,0
127,308.81,140.949,162.426,440.662,67.6456,405.706,0
128,311.41,142.106,203.959,403.934,67.7768,405.252,0
129,183.602,129.247,514.607,337.044,630.312,334.112,0
130,275.308,176.954,244.062,343.776,249.452,185.197,0
131,304.509,176.831,244.764,350.141,249.809,185.102,0
132,398.215,287.771,405.087,395.816,349.298,174.472,0
133,84.3993,70.6459,145.54,642.325,150.69,706.199,0
134,55.2997,64.8699,550.927,752.932,611.169,754.857,0
135,124.699,98.6085,138.044,608.386,150.689,706.231,0
136,54.7997,64.947,593.826,199.696,647.765,197.579,0
137,49.1998,50.2488,613.206,146.39,653.465,130.212,0
138,81.7993,76.7655,230.742,258.287,248.958,185.043,0
139,399.515,271.214,443.355,437.553,615.478,540.218,0
140,0,0,248.686,175.68,248.686,175.68,0
141,94.3991,81.5679,423.08,157.795,356.083,173.618,0
142,54.0997,64.8827,550.767,753.698,611.175,754.828,0
143,223.404,176.872,173.864,561.139,150.93,706.261,0
144,66.0996,74.2678,347.593,201.123,349.415,174.533,0
145,181.202,148.315,517.411,136.785,653.536,129.987,0
146,290.709,292.33,377.964,572.706,313.428,818.209,0
147,300.209,169.211,173.634,301.568,248.028,184.579,0
148,555.112,341.552,399.08,508.217,615.452,539.948,0
149,68.4995,54.9426,119.133,398.95,67.7071,404.916,0
150,167.501,109.57,428.823,228.007,355.67,174.337,0
151,346.712,266.626,295.221,411.203,249.834,185.085,0
