ID,State,Px,Py,Vx,Vy,Speed,Flow,Ax,Ay,Density,Exit_coe,Slope,V_P,W_P,Vg,Vl,Vg_x,Vg_y,Vl_x,Vl_y,Pressure,Friction,Pressure_Sum
0,1,217.933,281.757,0.0735676,-0.327462,0.335624,0.405294,0,0,1.20759,0.301896,0,0.487349,0.215444,1,1,0.34202,-0.939693,-0.712889,0.701277,7.74421,0.123464,7.86767
1,1,315.944,692.983,0.0219233,0.110352,0.112509,0.201347,0,0,1.78961,0.447403,0,0.305364,0.329513,1,1,0.34202,0.939693,0.350441,0.936585,0.457819,0.141435,0.599254
2,1,149.555,676.369,0.0173337,0.304763,0.305255,0.542508,0,0,1.77723,0.444307,0,0.308794,0.326783,1,1,0.173648,0.984808,-0.376878,0.926263,0.602191,0.199476,0.801667
3,0
4,1,511.462,445.796,0.235512,0.0132293,0.235883,0.391713,0,0,1.66062,0.415156,0,0.342043,0.301666,1,1,0.939693,-0.34202,0.157025,0.987595,6.49716,0.577021,7.07418
5,1,151.322,689.738,-0.0825372,0.551645,0.557786,0.709394,0,0,1.2718,0.317951,0,0.465191,0.226497,1,1,-0.34202,0.939693,0.528538,0.84891,2.52382,0.137427,2.66124
6,1,592.077,767.364,0.323628,-0.050463,0.327539,0.417965,0,0,1.27608,0.31902,0,0.463734,0.227247,1,1,0.939693,-0.34202,-0.452222,0.891905,6.15897,0.880647,7.03962
7,0
8,0
9,1,331.098,198.798,-0.435643,0.0685417,0.441003,0.418047,0,0,0.947948,0.236987,0,0.582189,0.17479,1,1,-0.939693,0.34202,0.262389,-0.964962,6.95848,0.450467,7.40895
10,1,539.338,190.553,0.311266,-0.0132266,0.311547,0.50337,0,0,1.61571,0.403929,0,0.355301,0.29229,1,1,0.939693,0.34202,0.365747,-0.930714,2.66712,1.00566,3.67278
11,1,613.287,333.499,0.259413,0.0266071,0.260774,0.264999,0,0,1.0162,0.254051,0,0.55644,0.184855,1,1,0.939693,0.34202,-0.501711,-0.865036,6.53534,0.586188,7.12153
12,0
13,1,89.9383,403.604,-0.295635,0.00913808,0.295776,0.49884,0,0,1.68655,0.421637,0,0.334504,0.307155,1,1,-0.939693,0.34202,0.936854,0.34972,0.575771,0.126835,0.702606
14,1,499.58,181.338,-0.387319,-0.145012,0.413575,0.379402,0,0,0.91737,0.229343,0,0.593913,0.170423,1,1,-0.939693,-0.34202,0.962278,0.272067,6.98936,0.399185,7.38855
15,1,250.589,198.854,-0.0217293,-0.116323,0.118335,0.218356,0,0,1.84524,0.46131,0,0.290187,0.341918,1,1,-0.34202,-0.939693,-0.0630428,-0.998011,3.05546,0.0346896,3.09015
16,0
17,0
18,1,149.598,536.172,-0.16131,0.49338,0.519081,0.753583,0,0,1.45176,0.362941,0,0.405844,0.259564,1,1,-0.34202,0.939693,0.480596,0.876942,1.38067,0.690745,2.07141
19,1,565.483,342.927,0.296539,-0.199932,0.357643,0.391074,0,0,1.09348,0.273369,0,0.527992,0.196783,1,1,0.866025,-0.5,0.135287,0.990807,6.47344,0.466029,6.93947
20,1,550.821,197.202,0.190586,0.15508,0.245708,0.424637,0,0,1.72822,0.432054,0,0.322563,0.316093,1,1,0.939693,0.34202,-0.0386084,0.999254,0.388735,0.745764,1.1345
21,1,306.417,292.738,-0.0780616,-0.0872079,0.117042,0.190259,0,0,1.62556,0.40639,0,0.352372,0.294332,1,1,-0.34202,-0.939693,-0.315682,0.948865,4.95807,0.169888,5.12795
22,1,426.867,629.861,-0.0516512,0.182837,0.189993,0.317377,0,0,1.67047,0.417617,0,0.33917,0.303744,1,1,0.173648,0.984808,-0.999225,0.039363,3.11235,0.487413,3.59976
23,1,567.995,358.975,0.19103,-0.0784985,0.20653,0.318549,0,0,1.54239,0.385597,0,0.377491,0.277356,1,1,0.984808,-0.173648,-0.501126,-0.865374,4.66597,0.709608,5.37558
24,1,492.918,718.185,0.295587,0.00438503,0.295619,0.424117,0,0,1.43467,0.358668,0,0.411307,0.256292,1,1,0.939693,0.34202,0.219645,-0.97558,2.514,1.15362,3.66761
25,1,237.863,629.864,-0.32853,-0.156715,0.363994,0.491453,0,0,1.35017,0.337542,0,0.438851,0.24052,1,1,-0.939693,-0.34202,0.311668,-0.950191,0.933371,0.631958,1.56533
26,1,521.969,508.407,0.434861,-0.0329369,0.436107,0.434169,0,0,0.995557,0.248889,0,0.564167,0.181764,1,1,0.939693,-0.34202,-0.200829,0.979626,6.74359,0.941048,7.68464
27,0
28,1,593.52,833.453,0.371088,0.0836111,0.380391,0.597922,0,0,1.57186,0.392966,0,0.368491,0.283303,1,1,0.984808,-0.173648,-0.072745,0.997351,1.08613,0.519885,1.60601
29,1,517.744,631.086,0.280622,-0.209409,0.350144,0.49965,0,0,1.42698,0.356745,0,0.413776,0.25483,1,1,0.642788,-0.766044,0.434426,0.900707,3.72381,0.518051,4.24186
30,1,622.568,214.829,0.590961,-0.422068,0.726206,0.445342,0,0,0.613244,0.153311,0,0.716882,0.131615,1,1,0.866025,-0.5,0.821167,0.570689,1.17262,0.858069,2.03069
31,1,383.9,329.62,-0.106087,-0.13338,0.170425,0.26727,0,0,1.56825,0.392063,0,0.369587,0.282571,1,1,-0.34202,-0.939693,-0.429182,0.903218,6.64037,0.268283,6.90865
32,1,554.02,153.682,0.397997,-0.0261006,0.398852,0.554139,0,0,1.38934,0.347334,0,0.425973,0.247747,1,1,0.939693,-0.34202,0.863949,0.50358,0.669288,0.383235,1.05252
33,1,260.802,634.527,-0.356118,0.00279712,0.356129,0.567642,0,0,1.59392,0.39848,0,0.361826,0.287803,1,1,-0.939693,-0.34202,0.467278,0.88411,1.83371,0.254696,2.08841
34,1,300.705,286.297,-0.0550465,-0.0632238,0.0838294,0.154652,0,0,1.84485,0.461212,0,0.290292,0.34183,1,1,-0.5,-0.866025,-0.947488,0.319791,1.96656,0.164915,2.13148
35,1,267.996,273.495,-0.135269,-0.730926,0.743337,0.532183,0,0,0.715937,0.178984,0,0.674067,0.143802,1,1,-0.34202,-0.939693,0.999985,-0.00545646,5.17021,0.902752,6.07296
36,1,411.171,180.678,0.0179649,0.23609,0.236773,0.300412,0,0,1.26878,0.317194,0,0.466224,0.225967,1,1,0.173648,0.984808,-0.383243,-0.923648,8.18354,0.767116,8.95066
37,1,497.707,393.436,0.576586,-0.044249,0.578281,0.656446,0,0,1.13517,0.283792,0,0.512954,0.203456,1,1,0.939693,-0.34202,-0.191073,0.981576,1.85602,0.651995,2.50802
38,1,201.8,586.912,-0.522244,0.320527,0.612761,0.428725,0,0,0.699661,0.174915,0,0.680765,0.14181,1,1,-0.939693,0.34202,-0.594343,-0.804211,1.06646,0.388322,1.45479
