cost,evac,widths
0.0,578.23,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
172.35,578.03,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
298.36,575.57,"[2,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
535.91,559.18,"[0,2,2,0,0,0,0,0,0,0,0,0,0,0,0]"
950.85,552.63,"[0,0,2,2,0,0,0,0,2,0,0,2,0,2,0]"
1023.02,531.58,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1447.32,528.62,"[0,0,2,0,0,0,2,0,0,4,2,0,4,0,0]"
1883.96,527.8,"[0,0,4,2,2,0,0,0,4,0,0,0,4,4,0]"
2039.54,526.09,"[0,0,4,2,2,0,0,0,4,4,0,0,4,2,0]"
2396.86,525.93,"[0,0,4,2,0,0,4,0,2,0,0,2,4,4,2]"
2471.77,522.44,"[4,0,4,2,0,0,2,0,4,0,0,0,4,4,2]"
3276.51,515.3,"[4,0,4,2,0,0,2,0,4,4,4,0,4,2,4]"
