cost,evac,widths
0.0,578.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,556.25,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
507.94,556.13,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,2]"
819.76,554.56,"[0,0,0,0,0,0,4,0,0,0,0,0,4,0,0]"
1034.09,552.12,"[2,2,4,0,0,0,0,0,0,0,0,0,0,0,0]"
1219.94,542.26,"[0,0,2,0,2,0,0,0,0,0,0,2,4,0,0]"
1380.68,535.07,"[0,0,4,0,2,0,0,0,0,0,2,0,4,0,0]"
1403.5,530.01,"[0,0,4,2,0,0,4,0,0,0,0,0,4,0,0]"
1622.82,528.76,"[2,2,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1679.02,519.64,"[0,0,4,2,0,0,0,0,4,2,2,0,4,2,0]"
2431.49,519.07,"[0,0,4,2,0,0,4,0,0,0,4,0,4,4,0]"
