cost,evac,widths
0.0,579.45,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
497.35,557.61,"[0,0,2,0,0,0,0,0,4,0,0,2,0,0,0]"
591.77,541.35,"[0,0,4,0,0,0,0,0,4,0,0,0,2,0,0]"
902.1,540.35,"[0,0,4,0,0,2,0,0,4,0,0,0,2,0,0]"
996.95,538.28,"[0,0,2,0,0,0,0,0,2,0,0,2,4,0,2]"
1075.65,530.59,"[0,0,4,0,0,0,0,0,4,0,4,0,2,0,0]"
1434.26,527.41,"[0,0,4,2,0,0,0,0,2,2,0,2,4,0,0]"
1619.55,526.84,"[0,2,4,2,0,0,0,0,2,0,2,0,2,2,0]"
1808.52,525.22,"[4,0,4,2,0,0,0,0,4,0,0,0,4,2,0]"
2033.95,523.24,"[0,0,4,2,0,0,2,0,2,4,0,0,4,2,2]"
2563.19,521.58,"[0,0,4,2,2,0,4,0,2,0,4,0,4,2,0]"
