cost,evac,widths
0.0,577.96,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,561.01,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
191.71,559.62,"[0,0,0,0,0,0,0,0,4,0,0,0,2,0,0]"
347.46,556.21,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
364.22,556.08,"[0,0,0,0,0,0,0,0,4,0,0,0,4,0,0]"
416.22,555.52,"[0,0,0,0,0,0,0,0,0,0,2,0,2,0,0]"
416.82,554.16,"[0,0,4,0,0,0,0,0,4,0,0,0,0,0,0]"
575.01,538.8,"[0,0,4,0,0,0,0,0,0,0,0,0,2,0,0]"
591.77,537.49,"[0,0,4,0,0,0,0,0,4,0,0,0,2,0,0]"
616.46,537.48,"[0,0,2,0,0,0,0,0,0,0,2,0,2,0,0]"
825.93,536.95,"[0,0,4,0,0,0,2,0,4,0,0,0,2,0,0]"
990.1,532.3,"[0,0,4,0,0,0,2,0,2,0,0,0,4,0,0]"
1075.65,530.39,"[0,0,4,0,0,0,0,0,4,0,4,0,2,0,0]"
1231.37,528.24,"[0,0,4,0,0,0,2,0,2,0,2,0,4,0,0]"
1291.63,527.63,"[0,0,4,0,0,0,0,0,0,0,0,0,4,4,0]"
1482.32,526.58,"[0,0,4,0,0,0,2,0,4,0,4,0,4,0,0]"
1532.9,524.6,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1965.51,520.38,"[0,0,4,0,0,0,0,0,2,4,2,0,4,4,0]"
2199.67,519.03,"[0,0,4,0,0,0,2,0,2,4,2,0,4,4,0]"
