cost,evac,widths
0.0,1446.64,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
298.36,1414.55,"[2,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
740.71,1404.09,"[0,0,0,0,0,0,2,0,4,2,0,0,0,2,0]"
958.22,1319.67,"[0,0,2,0,2,0,0,0,4,0,0,0,0,0,4]"
1182.75,1275.66,"[2,0,2,0,2,0,0,0,4,0,0,0,0,2,0]"
1303.84,1268.67,"[2,0,2,0,0,2,0,2,4,0,0,0,2,0,0]"
1347.62,1222.65,"[0,0,2,0,4,0,0,0,4,0,0,0,4,0,0]"
1723.19,1217.56,"[0,0,4,2,2,0,0,0,4,0,0,2,2,2,0]"
2002.57,1207.89,"[0,0,2,0,2,0,2,0,2,2,0,2,4,0,4]"
2109.94,1193.59,"[2,0,2,0,4,0,4,0,2,0,0,0,4,0,0]"
2285.72,1186.08,"[4,0,2,0,2,0,4,0,2,0,0,2,4,0,0]"
2767.22,1181.42,"[2,2,2,0,2,0,4,0,4,4,0,2,4,0,0]"
2781.87,1171.35,"[4,2,2,0,2,0,4,0,2,0,0,2,4,0,2]"
2910.49,1160.02,"[4,0,4,2,2,0,4,0,2,0,2,2,4,0,0]"
3185.8,1155.0,"[4,4,4,0,0,0,4,0,0,0,0,0,4,4,2]"
3221.67,1147.03,"[4,0,4,2,2,0,4,0,4,0,0,2,4,4,0]"
4076.53,1134.57,"[4,0,4,2,2,2,4,0,0,0,2,2,4,4,4]"
4257.73,1132.82,"[4,4,4,0,4,0,4,0,2,0,0,2,4,4,2]"
4998.56,1124.81,"[4,4,4,0,4,0,4,0,2,2,2,4,4,4,2]"
