cost,evac,widths
0.0,1419.83,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
771.65,1278.6,"[0,0,0,0,0,0,0,0,0,4,0,0,4,0,0]"
1009.61,1222.38,"[0,0,4,2,0,0,2,0,4,0,0,0,2,0,0]"
1174.99,1216.64,"[0,0,2,2,0,0,0,0,4,4,0,0,4,0,0]"
1445.66,1187.32,"[0,0,4,0,0,0,2,0,2,2,2,0,4,0,0]"
1785.41,1169.52,"[2,0,4,2,0,0,0,0,0,0,0,2,4,2,0]"
2016.18,1166.09,"[0,4,4,2,2,0,0,0,4,0,0,0,4,0,0]"
2139.48,1160.41,"[0,2,4,2,2,0,4,0,2,0,0,0,4,0,0]"
2721.68,1136.17,"[2,2,4,2,2,0,4,0,4,0,0,0,4,2,0]"
3549.43,1135.1,"[0,2,4,0,4,0,2,0,2,2,2,2,4,4,2]"
3743.58,1132.89,"[2,4,4,4,0,0,4,0,2,2,2,2,4,2,2]"
3873.54,1121.48,"[2,2,4,4,2,0,4,0,4,2,4,0,4,4,0]"
4454.42,1117.2,"[2,2,4,4,2,2,4,0,0,4,2,0,4,4,4]"
4615.62,1113.45,"[4,0,4,4,4,0,4,0,2,4,2,2,4,4,2]"
5451.34,1113.25,"[4,2,4,2,4,4,4,0,2,4,4,2,4,4,0]"
5457.23,1103.55,"[4,4,4,4,4,0,4,0,2,4,2,2,4,4,4]"
6060.23,1103.01,"[4,4,4,4,4,4,4,0,2,4,2,2,4,4,4]"
