cost,evac,widths
0.0,1445.45,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
200.24,1345.84,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
414.53,1322.85,"[0,0,2,0,0,0,0,0,0,2,0,0,0,0,0]"
675.56,1321.76,"[0,0,4,0,0,0,0,0,0,0,0,0,0,2,0]"
755.94,1228.21,"[0,0,4,0,0,0,0,0,2,0,0,0,4,0,0]"
956.35,1223.86,"[0,0,2,0,2,0,0,0,4,0,0,0,4,0,0]"
1539.1,1212.84,"[0,0,4,0,4,0,0,0,2,0,0,0,4,0,0]"
1596.74,1202.54,"[4,0,2,0,0,0,0,0,2,2,2,0,4,0,0]"
1741.73,1192.9,"[0,0,2,0,2,0,0,0,4,0,2,0,4,4,0]"
2324.16,1191.41,"[4,2,2,0,0,0,0,2,2,0,0,0,4,4,0]"
2353.04,1181.52,"[4,0,2,0,2,0,0,2,2,0,2,0,4,2,0]"
2493.24,1165.42,"[4,4,2,0,2,0,0,0,4,0,0,0,4,2,0]"
2808.09,1151.16,"[4,2,4,2,2,0,0,0,2,0,0,2,4,2,0]"
3133.85,1146.51,"[4,2,4,2,2,0,0,0,2,0,0,2,4,2,4]"
3372.15,1144.11,"[4,4,4,4,2,2,0,0,4,0,0,0,4,2,0]"
