cost,evac,widths
0.0,1418.89,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
234.16,1408.34,"[0,0,0,0,0,0,2,0,0,0,0,0,0,0,0]"
298.36,1389.26,"[2,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
408.65,1388.26,"[0,0,0,0,2,0,0,0,4,0,0,0,0,0,0]"
425.87,1332.39,"[0,0,0,0,0,0,2,0,4,0,0,0,2,0,0]"
473.31,1318.43,"[2,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
515.36,1297.29,"[2,0,2,0,0,0,0,0,4,0,0,0,0,0,0]"
645.82,1271.76,"[2,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
690.31,1246.63,"[2,0,2,0,0,0,0,0,4,0,0,0,2,0,0]"
924.47,1240.85,"[2,0,2,0,0,0,2,0,4,0,0,0,2,0,0]"
1062.64,1195.86,"[2,0,4,0,0,0,0,0,4,0,0,0,4,0,0]"
1280.04,1190.35,"[2,0,4,0,0,0,2,0,0,0,0,0,4,0,0]"
1480.48,1182.05,"[2,0,4,2,0,0,2,0,4,0,0,0,4,0,0]"
1648.8,1181.06,"[2,0,4,4,0,0,2,0,0,0,0,0,4,0,0]"
1824.15,1175.67,"[2,0,4,0,0,0,2,0,0,0,0,0,4,4,0]"
2024.36,1168.07,"[2,2,4,0,2,0,2,0,4,0,0,0,4,0,0]"
2238.98,1162.61,"[2,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
2607.74,1154.92,"[2,4,4,4,0,0,0,0,0,0,2,0,4,2,0]"
2894.44,1147.36,"[4,4,4,4,0,0,0,0,0,0,2,0,4,2,0]"
2920.47,1140.73,"[2,2,4,4,2,0,2,0,0,0,0,0,4,4,0]"
