sim_call,batch,evac,cost_proxy,widths
1,0,517.4583375506072,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,500.4228997975709,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,509.9394863360324,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,493.2020685728745,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,488.85425101214577,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,484.5452429149797,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,481.40206857287444,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,504.9672254554656,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,493.8266067813765,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,489.9100075910931,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,488.18424215587044,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,486.69654605263156,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,514.8110260627531,1131.89,"[0,4,0,0,0,0,0,0,0,2,2,0,0,0,0]"
14,1,497.0132780870445,805.45,"[0,0,0,0,0,4,0,0,4,0,0,0,2,0,0]"
15,1,484.2864119433199,1303.3700000000001,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
16,1,501.7845141700405,650.6600000000001,"[0,0,0,0,0,0,0,2,0,0,0,0,4,0,0]"
17,1,484.0224190283401,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
18,1,489.7230010121458,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
19,1,484.7663208502025,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
20,1,489.6166497975708,2560.4400000000005,"[0,2,4,0,2,0,0,4,0,0,4,0,4,0,0]"
21,1,522.3941042510121,172.35000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
22,1,516.399449645749,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
23,1,494.9082932692308,886.35,"[0,0,0,0,0,0,0,0,0,0,0,0,2,4,2]"
24,1,489.44483805668017,2308.42,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
