sim_call,batch,evac,cost_proxy,widths
1,0,491.01757338056683,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,476.74022646761136,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,488.5952998481781,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,472.57227985829957,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,472.0158780364373,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,467.860387145749,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,464.6514676113361,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,481.33052884615387,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,478.0241902834008,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,470.16719382591094,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,470.8827176113361,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,467.2636260121458,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,469.29307945344135,2132.9100000000003,"[0,2,4,0,0,4,0,0,0,0,0,0,4,2,2]"
14,1,470.69862095141696,2316.6200000000003,"[2,0,0,0,2,0,2,0,4,0,4,0,4,4,0]"
15,1,470.8963499493927,547.7,"[0,0,2,0,0,0,0,0,0,0,0,0,4,0,0]"
16,1,484.16959767206475,572.4100000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,2]"
17,1,468.3866586538461,1815.28,"[0,0,4,0,0,0,4,2,4,0,0,0,4,2,0]"
18,1,468.8654731781377,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
19,1,486.96932565789473,566.84,"[0,0,0,0,2,0,0,0,0,0,0,0,2,0,0]"
20,1,491.9508476720648,2150.5,"[0,0,2,0,4,0,0,4,0,0,0,4,0,0,0]"
21,1,471.4714827935223,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
22,1,474.402663208502,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
23,1,457.8470204959514,1660.3900000000003,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
24,1,471.6584197874494,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
