sim_call,batch,evac,cost_proxy,widths
1,0,543.409096659919,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,520.6359944331983,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,539.690156882591,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,513.864423076923,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,509.6854124493927,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,504.02138157894734,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,499.92663208502023,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,531.7778276821863,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,519.0411057692307,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,510.1289220647774,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,507.17269104251017,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,506.0901442307692,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,505.93879048583,2132.9100000000003,"[0,2,4,0,0,4,0,0,0,0,0,0,4,2,2]"
14,1,508.121508097166,2316.6200000000003,"[2,0,0,0,2,0,2,0,4,0,4,0,4,4,0]"
15,1,505.12587297570855,1333.0800000000002,"[0,0,2,0,0,0,0,0,0,0,2,0,4,4,0]"
16,1,532.4436045040486,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
17,1,509.3833755060729,1815.28,"[0,0,4,0,0,0,4,2,4,0,0,0,4,2,0]"
18,1,506.70960273279354,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
19,1,524.9375,566.84,"[0,0,0,0,2,0,0,0,0,0,0,0,2,0,0]"
20,1,542.3486589068826,2150.5,"[0,0,2,0,4,0,0,4,0,0,0,4,0,0,0]"
21,1,507.2969509109311,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
22,1,516.2456477732793,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
23,1,495.11481528340084,1660.3900000000003,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
24,1,510.2276189271255,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
