sim_call,batch,evac,cost_proxy,widths
1,0,531.1465397267207,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,504.36411943319837,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,522.7080339068826,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,500.21137398785424,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,495.35959008097166,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,492.50463056680167,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,489.1542510121457,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,516.4626012145749,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,501.9164979757086,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,497.4023785425101,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,495.14826670040486,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,494.2014233299595,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,497.1840334008097,2132.9100000000003,"[0,2,4,0,0,4,0,0,0,0,0,0,4,2,2]"
14,1,500.24534412955467,2316.6200000000003,"[2,0,0,0,2,0,2,0,4,0,4,0,4,4,0]"
15,1,495.5295103744939,1333.0800000000002,"[0,0,2,0,0,0,0,0,0,0,2,0,4,4,0]"
16,1,515.7211285425102,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
17,1,497.08846786437243,1815.28,"[0,0,4,0,0,0,4,2,4,0,0,0,4,2,0]"
18,1,494.483919534413,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
19,1,509.5117029352227,566.84,"[0,0,0,0,2,0,0,0,0,0,0,0,2,0,0]"
20,1,528.1233299595142,2150.5,"[0,0,2,0,4,0,0,4,0,0,0,4,0,0,0]"
21,1,496.0664220647773,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
22,1,502.4362348178138,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
23,1,482.9937879554656,1660.3900000000003,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
24,1,496.1901948380567,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
