sim_call,batch,evac,cost_proxy,widths
1,0,501.49438259109314,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,484.62715080971657,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,494.65485197368423,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,479.2497216599191,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,475.683451417004,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,469.5899607793522,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,468.3286310728745,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,489.5634805161944,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,482.6484375,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,477.29080845141704,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,473.3533464068826,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,473.3420356781377,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,495.7543459008097,1131.89,"[0,4,0,0,0,0,0,0,0,2,2,0,0,0,0]"
14,1,484.8501328441296,805.45,"[0,0,0,0,0,4,0,0,4,0,0,0,2,0,0]"
15,1,470.70350455465586,1303.3700000000001,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
16,1,482.18238866396763,650.6600000000001,"[0,0,0,0,0,0,0,2,0,0,0,0,4,0,0]"
17,1,468.9199772267206,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
18,1,475.82369686234813,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
19,1,470.01720647773277,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
20,1,476.66572621457493,2560.4400000000005,"[0,2,4,0,2,0,0,4,0,0,4,0,4,0,0]"
21,1,503.1213372975708,172.35000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
22,1,502.3580275809717,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
23,1,480.3021887651822,886.35,"[0,0,0,0,0,0,0,0,0,0,0,0,2,4,2]"
24,1,474.2619876012146,2308.42,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
