sim_call,batch,evac,cost_proxy,widths
1,0,539.6324392712551,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,519.6110829959514,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,537.004225708502,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,511.2392143218623,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,507.6245571862348,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,502.3279225708502,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,501.7351657388663,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,530.1254301619433,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,514.2755946356275,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,506.5231148785425,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,506.7667636639676,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,504.43183198380564,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,502.2041244939271,1967.9600000000003,"[0,4,4,0,0,0,0,0,0,0,0,0,4,4,0]"
14,1,515.1530870445345,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
15,1,502.48671558704456,1940.6200000000001,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
16,1,525.9049089068826,1358.17,"[0,0,4,0,4,0,0,0,0,0,0,0,2,0,0]"
17,1,500.5338689271255,2138.6,"[0,2,4,0,0,0,0,0,0,2,0,4,4,2,0]"
18,1,518.2535994433199,1806.18,"[0,0,4,0,4,0,0,0,0,0,0,0,4,2,0]"
19,1,506.17155870445345,1408.2600000000002,"[4,0,2,0,0,0,0,0,0,0,0,0,4,2,0]"
20,1,531.4913208502023,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
21,1,515.8137715080971,1410.9700000000003,"[0,0,0,0,4,0,0,0,0,0,0,2,4,0,0]"
22,1,511.12322241902837,1702.6600000000003,"[0,0,0,0,0,0,4,0,0,2,0,4,2,2,0]"
23,1,516.6928137651822,485.28000000000003,"[0,0,0,0,0,2,0,0,0,0,0,0,2,0,0]"
24,1,540.6144167510122,280.35,"[0,0,0,0,0,0,0,0,0,0,0,2,0,0,0]"
