sim_call,batch,evac,cost_proxy,widths
1,0,483.1286057692308,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,471.814245951417,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,477.08010501012143,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,468.669762145749,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,465.24914600202425,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,459.7036310728745,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,456.2495255566801,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,475.4288208502024,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,468.14173203441294,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,463.08502656882587,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,462.2358236336033,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,460.6342737854251,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,478.6215334008097,1131.89,"[0,4,0,0,0,0,0,0,0,2,2,0,0,0,0]"
14,1,471.39473051619433,805.45,"[0,0,0,0,0,4,0,0,4,0,0,0,2,0,0]"
15,1,459.5799215587044,1303.3700000000001,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
16,1,474.6238613360324,650.6600000000001,"[0,0,0,0,0,0,0,2,0,0,0,0,4,0,0]"
17,1,460.40585779352233,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
18,1,463.38447621457493,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
19,1,458.5273279352226,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
20,1,465.27544281376515,2560.4400000000005,"[0,2,4,0,2,0,0,4,0,0,4,0,4,0,0]"
21,1,482.72955465587046,172.35000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
22,1,482.1139865890688,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
23,1,465.6377783400809,886.35,"[0,0,0,0,0,0,0,0,0,0,0,0,2,4,2]"
24,1,462.52684716599197,2308.42,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
