cost,evac,widths
0.0,518.63,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,498.93,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,494.37,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,492.08,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,490.03,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,489.05,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,488.57,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,485.77,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,485.32,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,484.94,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
1966.09,481.4,"[0,2,4,0,0,0,0,0,0,2,0,4,2,2,0]"
