cost,evac,widths
0.0,473.65,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,459.79,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,458.37,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,457.64,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
485.28,456.2,"[0,0,0,0,0,2,0,0,0,0,0,0,2,0,0]"
747.52,453.28,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
988.79,452.24,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,449.61,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,449.39,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1702.66,449.02,"[0,0,0,0,0,0,4,0,0,2,0,4,2,2,0]"
1966.09,446.85,"[0,2,4,0,0,0,0,0,0,2,0,4,2,2,0]"
