cost,evac,widths
0.0,543.33,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,521.51,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,514.44,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,513.94,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,508.87,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
988.79,506.26,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,505.96,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,505.33,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,502.3,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,499.33,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
