cost,evac,widths
0.0,501.49,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,484.63,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,482.65,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,479.25,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,475.68,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
988.79,473.35,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,473.34,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,470.7,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,468.92,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,468.33,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
