cost,evac,widths
0.0,539.63,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,519.61,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,514.28,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,511.24,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,507.62,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,506.52,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1023.02,504.43,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,502.33,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1967.96,502.2,"[0,4,4,0,0,0,0,0,0,0,0,0,4,4,0]"
2138.6,500.53,"[0,2,4,0,0,0,0,0,0,2,0,4,4,2,0]"
