cost,evac,widths
0.0,495.94,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,482.88,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,481.45,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,479.66,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,474.63,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
988.79,474.04,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,473.94,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,473.56,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,470.31,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,469.95,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
