sim_call,batch,evac,cost_proxy,widths
1,0,1422.293987482784,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1343.1666312207572,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1323.2930588187637,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1265.9712300743352,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1211.5972656012639,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1187.3869417269248,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1137.2831439509025,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1311.1732155877824,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1295.5522128374957,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1206.26697656519,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1202.75349192846,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1202.8358287253652,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1181.5807447691966,1967.9600000000003,"[0,4,4,0,0,0,0,0,0,0,0,0,4,4,0]"
14,1,1295.5431224808087,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
15,1,1177.415003747139,1940.6200000000001,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
16,1,1242.3864768791398,1358.17,"[0,0,4,0,4,0,0,0,0,0,0,0,2,0,0]"
17,1,1252.6138887200989,1490.7700000000002,"[0,2,2,0,0,0,0,0,0,2,0,4,2,0,0]"
18,1,1310.2967785384428,983.4000000000001,"[0,0,2,0,4,0,0,0,0,0,0,0,0,0,0]"
19,1,1284.0423640930082,785.3000000000001,"[4,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
20,1,1321.7419184963135,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
21,1,1374.5895234140808,1063.51,"[0,0,0,0,4,0,0,0,0,0,0,2,0,0,0]"
22,1,1312.4825525105832,1427.16,"[0,0,0,0,0,0,4,0,0,2,0,4,2,0,0]"
23,1,1345.0648052500455,485.28000000000003,"[0,0,0,0,0,2,0,0,0,0,0,0,2,0,0]"
24,1,1421.2747356801426,280.35,"[0,0,0,0,0,0,0,0,0,0,0,2,0,0,0]"
