sim_call,batch,evac,cost_proxy,widths
1,0,1359.7696226376875,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1289.568364763313,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1266.7693046243594,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1212.1400342320078,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1160.4856792724179,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1136.9896169661124,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1079.2174431323301,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1260.0129939840792,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1237.6364621523628,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1156.156211387713,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1154.9079786910813,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1149.6750703883004,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1311.3399147238144,1131.89,"[0,4,0,0,0,0,0,0,0,2,2,0,0,0,0]"
14,1,1288.9547590593288,805.45,"[0,0,0,0,0,4,0,0,4,0,0,0,2,0,0]"
15,1,1146.3172831128848,1303.3700000000001,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
16,1,1250.1701249772125,650.6600000000001,"[0,0,0,0,0,0,0,2,0,0,0,0,4,0,0]"
17,1,1137.646660860054,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
18,1,1160.139079179242,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
19,1,1137.2848852518787,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
20,1,1131.8511252000242,2560.4400000000005,"[0,2,4,0,2,0,0,4,0,0,4,0,4,0,0]"
21,1,1361.0971155988575,172.35000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
22,1,1360.7449340679373,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
23,1,1271.4343312605076,886.35,"[0,0,0,0,0,0,0,0,0,0,0,0,2,4,2]"
24,1,1115.9869979136706,2308.42,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
