sim_call,batch,evac,cost_proxy,widths
1,0,1531.738036014503,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1446.4761945755436,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1422.7064169823166,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1357.6241619234743,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1299.3280702465108,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1275.56424882011,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1211.1007717393506,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1411.6380117077517,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1387.6047722254857,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1291.7131367862423,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1290.6539042719116,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1286.7716076890358,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1461.2931819562882,1131.89,"[0,4,0,0,0,0,0,0,0,2,2,0,0,0,0]"
14,1,1447.5958334177317,805.45,"[0,0,0,0,0,4,0,0,4,0,0,0,2,0,0]"
15,1,1289.7142781907673,1303.3700000000001,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
16,1,1399.4960562296178,650.6600000000001,"[0,0,0,0,0,0,0,2,0,0,0,0,4,0,0]"
17,1,1274.5572748080779,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
18,1,1299.6832931596753,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
19,1,1275.4340983208087,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
20,1,1269.6815106645872,2560.4400000000005,"[0,2,4,0,2,0,0,4,0,0,4,0,4,0,0]"
21,1,1538.4453260143007,172.35000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
22,1,1533.4798851506005,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
23,1,1425.111373533999,886.35,"[0,0,0,0,0,0,0,0,0,0,0,0,2,4,2]"
24,1,1254.0249448034192,2308.42,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
