sim_call,batch,evac,cost_proxy,widths
1,0,1545.0351293321721,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1469.5540703680447,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1444.3959427981122,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1382.2983552431688,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1324.1633231380015,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1294.3359274038362,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1242.129569162835,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1437.0922643764306,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1408.9406935526342,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1316.439818509591,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1313.3706273167372,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1310.1622688326684,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1502.3675596021797,1131.89,"[0,4,0,0,0,0,0,0,0,2,2,0,0,0,0]"
14,1,1470.2586035771435,805.45,"[0,0,0,0,0,4,0,0,4,0,0,0,2,0,0]"
15,1,1311.165579614738,1303.3700000000001,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
16,1,1421.6974852640321,650.6600000000001,"[0,0,0,0,0,0,0,2,0,0,0,0,4,0,0]"
17,1,1295.586618120683,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
18,1,1322.9452814519232,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
19,1,1295.9671960136927,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
20,1,1296.4569264113109,2560.4400000000005,"[0,2,4,0,2,0,0,4,0,0,4,0,4,0,0]"
21,1,1551.1581032631814,172.35000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
22,1,1546.5252709189976,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
23,1,1445.7597540967004,886.35,"[0,0,0,0,0,0,0,0,0,0,0,0,2,4,2]"
24,1,1284.699102675768,2308.42,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
