sim_call,batch,evac,cost_proxy,widths
1,0,1375.938332455643,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1299.8783050778798,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1285.0549704285831,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1228.5526138826438,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1172.3572259018454,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1151.4097354722408,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1095.6237244536267,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1274.410925220773,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1253.4599866318283,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1167.8328462052623,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1163.533882238561,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1163.3722276235035,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1137.7761418646573,1967.9600000000003,"[0,4,4,0,0,0,0,0,0,0,0,0,4,4,0]"
14,1,1253.8372404853053,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
15,1,1135.5002390067043,1940.6200000000001,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
16,1,1199.4577464503454,1358.17,"[0,0,4,0,4,0,0,0,0,0,0,0,2,0,0]"
17,1,1208.513540337445,1490.7700000000002,"[0,2,2,0,0,0,0,0,0,2,0,4,2,0,0]"
18,1,1269.6064125415214,983.4000000000001,"[0,0,2,0,4,0,0,0,0,0,0,0,0,0,0]"
19,1,1244.4224712387588,785.3000000000001,"[4,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
20,1,1283.4940057117394,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
21,1,1331.8656090496638,1063.51,"[0,0,0,0,4,0,0,0,0,0,0,2,0,0,0]"
22,1,1264.9084199226268,1427.16,"[0,0,0,0,0,0,4,0,0,2,0,4,2,0,0]"
23,1,1308.0633550059752,485.28000000000003,"[0,0,0,0,0,2,0,0,0,0,0,0,2,0,0]"
24,1,1379.9137264036297,280.35,"[0,0,0,0,0,0,0,0,0,0,0,2,0,0,0]"
