sim_call,batch,evac,cost_proxy,widths
1,0,1675.5611021086108,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1588.1971459822967,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1568.1953098097997,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1491.1551459417851,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1425.850067856347,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1397.6581306082765,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1344.2900848710728,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1555.1176467013713,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1519.0198241811663,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1420.6874698697563,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1416.063091211084,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1413.9570226255344,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1637.812574692621,1131.89,"[0,4,0,0,0,0,0,0,0,2,2,0,0,0,0]"
14,1,1586.7268528833883,805.45,"[0,0,0,0,0,4,0,0,4,0,0,0,2,0,0]"
15,1,1417.614569871782,1303.3700000000001,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
16,1,1530.7410895501225,650.6600000000001,"[0,0,0,0,0,0,0,2,0,0,0,0,4,0,0]"
17,1,1395.341304259758,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
18,1,1428.2577082784744,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
19,1,1398.0042010168324,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
20,1,1398.6988565699123,2560.4400000000005,"[0,2,4,0,2,0,0,4,0,0,4,0,4,0,0]"
21,1,1677.9461007919951,172.35000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
22,1,1672.1425560574448,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
23,1,1561.8296998116227,886.35,"[0,0,0,0,0,0,0,0,0,0,0,0,2,4,2]"
24,1,1389.668921793028,2308.42,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
