sim_call,batch,evac,cost_proxy,widths
1,0,1263.7107146472315,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1189.631887842899,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1165.899019131491,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1116.9118959408847,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1065.6059580929245,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1044.234317238587,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,990.3021884806154,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1154.2630286466242,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1144.6603704828424,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1060.0456787124203,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1058.9714222087255,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1056.1714363802005,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1039.8275513715962,2132.9100000000003,"[0,2,4,0,0,4,0,0,0,0,0,0,4,2,2]"
14,1,1068.3154317238586,2316.6200000000003,"[2,0,0,0,2,0,2,0,4,0,4,0,4,4,0]"
15,1,1059.775432736107,1333.0800000000002,"[0,0,2,0,0,0,0,0,0,0,2,0,4,4,0]"
16,1,1155.5281394878023,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
17,1,1048.2820751088168,1815.28,"[0,0,4,0,0,0,4,2,4,0,0,0,4,2,0]"
18,1,1056.7156392347404,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
19,1,1166.159342038668,566.84,"[0,0,0,0,2,0,0,0,0,0,0,0,2,0,0]"
20,1,1144.3574531835206,2150.5,"[0,0,2,0,4,0,0,4,0,0,0,4,0,0,0]"
21,1,1059.7500374531835,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
22,1,1146.2875230286465,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
23,1,1041.1143182508351,1660.3900000000003,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
24,1,1065.7043192630833,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
