cost,evac,widths
0.0,1334.88,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1268.19,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1248.21,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1219.3,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1198.43,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1143.34,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1140.01,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1138.6,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1133.65,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1122.77,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,1110.98,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
3212.83,1073.72,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
