cost,evac,widths
0.0,1357.95,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1281.41,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1263.0,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1231.96,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1202.86,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1150.62,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1144.42,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1023.02,1142.99,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,1137.33,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,1127.31,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1103.94,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1067.22,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
