cost,evac,widths
0.0,1655.82,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1562.09,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1542.97,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1497.98,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1475.91,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1411.55,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1407.39,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1401.09,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1532.9,1382.16,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,1377.6,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
3212.83,1336.34,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
