cost,evac,widths
0.0,1264.77,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1196.24,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1176.9,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1152.52,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1125.88,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1078.8,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1072.15,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1023.02,1070.24,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1408.26,1057.67,"[4,0,2,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1056.7,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,1039.15,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
3212.83,1000.86,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
